GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ScoresPerTurn(ScoresPerTurn),ActionsCount(Pass),ActionsCount(AllocateDice),ActionsCount(RollDice)
-592630267,CantStop,0,GAME_OVER,90,12,4,5513,cantstop-32,0.0,3.0,0.0,1.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 0.0, 1.0, 0.0]",13,38,39
-592630267,CantStop,0,GAME_OVER,87,8,4,5514,cantstop-32,0.0,3.0,0.0,1.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 0.0, 1.0, 0.0]",9,39,39
-592630267,CantStop,0,GAME_OVER,160,21,4,5515,cantstop-32,3.0,0.0,2.0,0.0,cantstop-32,cantstop-32,cantstop-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0]",22,67,71
-592630267,CantStop,0,GAME_OVER,108,8,4,5516,cantstop-32,0.0,3.0,1.0,1.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 3.0, 0.0, 1.0, 1.0]",9,49,50
-592630267,CantStop,0,GAME_OVER,153,12,4,5517,cantstop-32,1.0,3.0,1.0,0.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 1.0, 0.0, 1.0]",13,69,71
-592630267,CantStop,0,GAME_OVER,184,17,4,5518,cantstop-32,3.0,2.0,1.0,0.0,cantstop-32,cantstop-32,cantstop-32,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 2.0, 3.0, 0.0, 1.0]",18,80,86
-592630267,CantStop,0,GAME_OVER,106,9,4,5519,cantstop-32,3.0,2.0,2.0,0.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 2.0, 2.0, 3.0, 0.0, 2.0]",10,48,48
-592630267,CantStop,0,GAME_OVER,181,14,4,5520,cantstop-32,2.0,2.0,0.0,3.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0, 2.0, 2.0, 3.0, 0.0]",15,81,85
-592630267,CantStop,0,GAME_OVER,195,23,4,5521,cantstop-32,2.0,2.0,3.0,1.0,cantstop-32,cantstop-32,cantstop-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 3.0]",24,82,89
-592630267,CantStop,0,GAME_OVER,96,16,4,5522,cantstop-32,0.0,3.0,1.0,0.0,cantstop-32,cantstop-32,cantstop-32,"[1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0]",17,39,40
