GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,4,GAME_OVER,9,0,2,2507,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,2,3,3,1,0,0,0
543675220,Connect4,4,GAME_OVER,9,0,2,2508,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,1,3,2,3,0,0,0
-1104797416,Connect4,4,GAME_OVER,9,0,2,2509,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,1,3,3,2,0,0,0,0,0
-2122888236,Connect4,4,GAME_OVER,9,0,2,2510,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,4,3,1,1,0,0,0
411797902,Connect4,4,GAME_OVER,9,0,2,2511,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,1,2,3,3,0,0,0,0,0
-260340557,Connect4,4,GAME_OVER,9,0,2,2512,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,1,3,2,3,0,0,0
-2002258810,Connect4,4,GAME_OVER,9,0,2,2513,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,1,3,2,3,0,0,0
-1736482663,Connect4,4,GAME_OVER,9,0,2,2514,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,1,3,2,3,0,0,0
-1406371633,Connect4,4,GAME_OVER,9,0,2,2515,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,2,3,2,2,0,0,0
1385045777,Connect4,4,GAME_OVER,9,0,2,2516,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,0,0,0,2,3,2,2,0,0,0
-221288584,Connect4,4,GAME_OVER,10,1,2,2517,connect4-32,1.0,-1.0,connect4-32,3,10,0,0,0,1,0,3,2,3,1,0,0,0
-2050393553,Connect4,4,GAME_OVER,9,0,2,2518,connect4-32,-1.0,1.0,connect4-32,3,10,0,0,1,1,2,3,1,1,0,0,0,0
