GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
2146420036,Connect4,17,GAME_OVER,35,0,2,4010,connect4-32,-1.0,1.0,connect4-32,5,12,2,1,1,5,3,2,1,4,1,5,6,4
543675220,Connect4,46,GAME_OVER,93,0,2,4011,connect4-32,-1.0,1.0,connect4-32,5,12,3,7,11,4,12,11,4,8,10,11,10,2
-1104797416,Connect4,25,GAME_OVER,51,0,2,4012,connect4-32,-1.0,1.0,connect4-32,5,12,3,2,6,4,5,4,6,4,1,5,7,4
-2122888236,Connect4,15,GAME_OVER,31,0,2,4013,connect4-32,-1.0,1.0,connect4-32,5,12,2,0,1,6,4,0,2,6,2,6,2,0
411797902,Connect4,13,GAME_OVER,27,0,2,4014,connect4-32,-1.0,1.0,connect4-32,5,12,3,1,2,2,2,0,1,5,4,3,3,1
-260340557,Connect4,26,GAME_OVER,54,1,2,4015,connect4-32,1.0,-1.0,connect4-32,5,12,2,6,1,5,5,5,7,6,2,6,4,5
-2002258810,Connect4,39,GAME_OVER,79,0,2,4016,connect4-32,-1.0,1.0,connect4-32,5,12,6,8,7,10,4,9,11,3,5,7,8,1
-1736482663,Connect4,59,GAME_OVER,119,0,2,4017,connect4-32,-1.0,1.0,connect4-32,5,12,7,4,12,12,10,11,12,12,3,12,12,12
-1406371633,Connect4,17,GAME_OVER,36,1,2,4018,connect4-32,1.0,-1.0,connect4-32,5,12,0,0,4,2,0,6,4,3,3,9,3,2
1385045777,Connect4,30,GAME_OVER,62,1,2,4019,connect4-32,1.0,-1.0,connect4-32,5,12,2,1,3,10,0,5,6,4,10,7,9,5
-221288584,Connect4,16,GAME_OVER,34,1,2,4020,connect4-32,1.0,-1.0,connect4-32,5,12,1,0,5,3,1,1,4,5,4,5,4,1
-2050393553,Connect4,20,GAME_OVER,41,0,2,4021,connect4-32,-1.0,1.0,connect4-32,5,12,1,1,6,5,2,5,6,2,5,0,6,2
1871450781,Connect4,18,GAME_OVER,38,1,2,4022,connect4-32,1.0,-1.0,connect4-32,5,12,3,6,4,3,5,3,3,2,4,2,3,0
149955400,Connect4,29,GAME_OVER,60,1,2,4023,connect4-32,1.0,-1.0,connect4-32,5,12,0,5,5,6,8,8,5,2,5,8,7,1
283844994,Connect4,34,GAME_OVER,70,1,2,4024,connect4-32,1.0,-1.0,connect4-32,5,12,12,0,9,7,8,7,3,9,8,1,3,3
227697819,Connect4,38,GAME_OVER,78,1,2,4025,connect4-32,1.0,-1.0,connect4-32,5,12,5,4,7,8,11,8,7,2,6,8,5,7
112351290,Connect4,7,GAME_OVER,16,1,2,4026,connect4-32,1.0,-1.0,connect4-32,5,12,0,1,0,5,0,1,2,1,1,2,2,1
-1425746208,Connect4,33,GAME_OVER,68,1,2,4027,connect4-32,1.0,-1.0,connect4-32,5,12,2,0,8,6,2,7,4,9,10,6,7,7
-706361041,Connect4,22,GAME_OVER,45,0,2,4028,connect4-32,-1.0,1.0,connect4-32,5,12,4,3,5,2,4,9,1,4,6,2,5,0
