GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5513,wonders7-4P-32,30.0,38.0,35.0,36.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,25,45,2,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,9,3,11,9,3,5,5,4,0,2,1,4,0,0,0,21,1,1,3,1,2,1,0,100,1,0,3,1,71,"[2.0, 2.0, 1.0, 1.0, 3.0, 3.0, 0.0, 1.0, 3.0, 3.0, 0.0, 1.0, 3.0, 4.0, 0.0, 1.0, 3.0, 4.0, 2.0, 4.0, 11.0, 7.0, 5.0, 5.0, 10.0, 6.0, 5.0, 6.0, 10.0, 4.0, 8.0, 7.0, 11.0, 6.0, 7.0, 9.0, 14.0, 10.0, 9.0, 10.0, 15.0, 10.0, 10.0, 10.0, 16.0, 13.0, 11.0, 11.0, 23.0, 12.0, 14.0, 18.0, 29.0, 16.0, 18.0, 17.0, 31.0, 21.0, 23.0, 20.0, 37.0, 25.0, 30.0, 23.0, 39.0, 25.0, 31.0, 24.0, 40.0, 26.0, 32.0, 25.0, 38.0, 30.0, 36.0, 35.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5514,wonders7-4P-32,30.0,36.0,40.0,33.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,19,53,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,11,4,10,10,2,8,8,5,0,3,1,6,0,0,0,19,2,1,3,0,2,2,1,87,0,0,2,4,73,"[1.0, 1.0, 1.0, 2.0, 1.0, 4.0, 1.0, 2.0, 1.0, 5.0, 2.0, 3.0, 4.0, 5.0, 2.0, 6.0, 5.0, 4.0, 3.0, 7.0, 6.0, 4.0, 6.0, 7.0, 8.0, 3.0, 10.0, 3.0, 9.0, 4.0, 9.0, 4.0, 12.0, 6.0, 8.0, 5.0, 17.0, 7.0, 9.0, 5.0, 15.0, 7.0, 10.0, 6.0, 18.0, 8.0, 12.0, 7.0, 23.0, 11.0, 16.0, 13.0, 25.0, 11.0, 17.0, 13.0, 26.0, 12.0, 17.0, 18.0, 30.0, 16.0, 23.0, 29.0, 31.0, 19.0, 28.0, 36.0, 32.0, 20.0, 29.0, 42.0, 36.0, 30.0, 33.0, 40.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5515,wonders7-4P-32,40.0,36.0,41.0,36.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,15,57,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,12,3,13,11,4,9,5,5,0,4,2,4,0,1,1,27,1,1,4,1,1,1,1,71,1,0,2,2,79,"[1.0, 1.0, 4.0, 4.0, 1.0, 2.0, 3.0, 4.0, 1.0, 5.0, 4.0, 5.0, 1.0, 6.0, 4.0, 6.0, 1.0, 5.0, 4.0, 7.0, 2.0, 5.0, 5.0, 8.0, 3.0, 6.0, 9.0, 6.0, 2.0, 7.0, 11.0, 8.0, 2.0, 8.0, 15.0, 8.0, 2.0, 9.0, 15.0, 9.0, 2.0, 14.0, 16.0, 9.0, 4.0, 13.0, 16.0, 9.0, 10.0, 22.0, 15.0, 16.0, 15.0, 27.0, 20.0, 21.0, 16.0, 34.0, 25.0, 30.0, 24.0, 34.0, 30.0, 34.0, 28.0, 34.0, 31.0, 36.0, 31.0, 35.0, 38.0, 37.0, 36.0, 40.0, 36.0, 41.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5516,wonders7-4P-32,34.0,28.0,27.0,31.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,28,42,2,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,10,1,11,11,1,6,2,6,0,4,1,6,0,1,0,23,1,0,3,0,0,0,1,106,0,0,0,2,72,"[2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 5.0, 3.0, 3.0, 4.0, 6.0, 4.0, 6.0, 4.0, 5.0, 4.0, 6.0, 5.0, 5.0, 5.0, 6.0, 5.0, 6.0, 5.0, 6.0, 5.0, 8.0, 4.0, 7.0, 4.0, 9.0, 5.0, 11.0, 3.0, 14.0, 5.0, 10.0, 3.0, 13.0, 6.0, 10.0, 8.0, 17.0, 9.0, 13.0, 7.0, 17.0, 10.0, 17.0, 14.0, 15.0, 19.0, 22.0, 19.0, 24.0, 23.0, 23.0, 25.0, 23.0, 24.0, 22.0, 27.0, 24.0, 27.0, 23.0, 28.0, 25.0, 28.0, 24.0, 29.0, 26.0, 29.0, 28.0, 34.0, 31.0, 27.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5517,wonders7-4P-32,31.0,34.0,36.0,41.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,22,50,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,9,5,12,8,3,7,6,3,0,2,2,4,0,0,0,24,2,1,4,1,2,3,0,98,0,0,0,3,68,"[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 5.0, 2.0, 1.0, 5.0, 5.0, 2.0, 2.0, 6.0, 5.0, 2.0, 2.0, 7.0, 6.0, 2.0, 3.0, 10.0, 7.0, 2.0, 3.0, 12.0, 5.0, 3.0, 6.0, 11.0, 6.0, 5.0, 7.0, 13.0, 6.0, 5.0, 8.0, 13.0, 8.0, 6.0, 6.0, 14.0, 9.0, 7.0, 5.0, 15.0, 12.0, 12.0, 12.0, 15.0, 20.0, 21.0, 13.0, 19.0, 26.0, 22.0, 19.0, 26.0, 31.0, 26.0, 22.0, 28.0, 35.0, 27.0, 24.0, 32.0, 34.0, 28.0, 24.0, 33.0, 37.0, 32.0, 34.0, 31.0, 41.0, 36.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5518,wonders7-4P-32,37.0,34.0,37.0,37.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,17,54,1,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,12,3,10,11,3,9,6,5,0,4,2,5,0,1,1,22,1,1,2,1,1,3,0,78,1,0,2,1,76,"[2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0, 3.0, 5.0, 5.0, 5.0, 2.0, 5.0, 5.0, 4.0, 3.0, 4.0, 5.0, 7.0, 5.0, 6.0, 7.0, 7.0, 6.0, 7.0, 7.0, 7.0, 6.0, 6.0, 8.0, 7.0, 5.0, 9.0, 11.0, 10.0, 5.0, 11.0, 11.0, 11.0, 6.0, 13.0, 14.0, 14.0, 6.0, 12.0, 18.0, 13.0, 6.0, 14.0, 21.0, 19.0, 14.0, 14.0, 26.0, 24.0, 20.0, 19.0, 33.0, 27.0, 24.0, 20.0, 34.0, 31.0, 32.0, 25.0, 36.0, 32.0, 38.0, 27.0, 34.0, 37.0, 37.0, 37.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5519,wonders7-4P-32,38.0,29.0,31.0,32.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,28,43,1,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,9,3,10,10,2,6,3,6,0,3,1,4,0,0,0,21,1,0,3,1,2,0,1,109,0,0,0,3,67,"[1.0, 2.0, 4.0, 4.0, 1.0, 3.0, 4.0, 4.0, 1.0, 6.0, 4.0, 5.0, 2.0, 6.0, 5.0, 6.0, 2.0, 6.0, 5.0, 5.0, 3.0, 7.0, 6.0, 6.0, 5.0, 5.0, 8.0, 4.0, 9.0, 5.0, 9.0, 7.0, 8.0, 6.0, 10.0, 7.0, 11.0, 7.0, 10.0, 8.0, 12.0, 8.0, 9.0, 9.0, 15.0, 9.0, 9.0, 10.0, 19.0, 17.0, 14.0, 9.0, 20.0, 18.0, 21.0, 11.0, 25.0, 23.0, 21.0, 15.0, 29.0, 23.0, 27.0, 15.0, 30.0, 26.0, 30.0, 20.0, 31.0, 28.0, 34.0, 21.0, 29.0, 38.0, 32.0, 31.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5520,wonders7-4P-32,30.0,39.0,39.0,38.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,26,46,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,10,2,10,10,5,7,2,4,0,5,1,4,0,0,1,20,1,1,3,0,1,1,1,97,1,0,0,1,75,"[1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 2.0, 4.0, 3.0, 2.0, 2.0, 5.0, 3.0, 3.0, 3.0, 5.0, 4.0, 2.0, 6.0, 6.0, 4.0, 5.0, 7.0, 10.0, 2.0, 7.0, 8.0, 10.0, 5.0, 8.0, 9.0, 10.0, 5.0, 8.0, 9.0, 10.0, 5.0, 6.0, 9.0, 11.0, 8.0, 7.0, 10.0, 15.0, 9.0, 12.0, 11.0, 13.0, 11.0, 12.0, 13.0, 19.0, 14.0, 18.0, 20.0, 23.0, 18.0, 24.0, 23.0, 29.0, 24.0, 28.0, 30.0, 31.0, 31.0, 29.0, 32.0, 34.0, 35.0, 39.0, 30.0, 38.0, 39.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5521,wonders7-4P-32,31.0,45.0,44.0,42.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,21,51,0,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,10,4,9,8,2,8,10,1,0,5,2,2,0,1,0,17,2,1,2,1,1,3,0,92,1,0,3,4,70,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 1.0, 2.0, 0.0, 5.0, 2.0, 3.0, 0.0, 5.0, 3.0, 4.0, 0.0, 8.0, 4.0, 3.0, 1.0, 11.0, 4.0, 3.0, 3.0, 12.0, 2.0, 3.0, 4.0, 12.0, 3.0, 7.0, 3.0, 13.0, 6.0, 7.0, 5.0, 16.0, 6.0, 13.0, 6.0, 17.0, 13.0, 20.0, 7.0, 18.0, 16.0, 28.0, 15.0, 21.0, 20.0, 30.0, 14.0, 27.0, 31.0, 31.0, 15.0, 26.0, 33.0, 34.0, 22.0, 25.0, 39.0, 36.0, 26.0, 30.0, 42.0, 41.0, 27.0, 32.0, 46.0, 45.0, 31.0, 42.0, 44.0]"
-1602644794,Wonders7,18,GAME_OVER,72,0,4,5522,wonders7-4P-32,40.0,26.0,45.0,25.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,21,50,1,TheColossusOfRhodes,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheMausoleumOfHalicarnassus,12,4,9,12,2,9,2,6,0,2,2,5,0,1,0,18,1,0,5,1,2,1,0,90,1,0,1,0,84,"[1.0, 1.0, 4.0, 0.0, 1.0, 1.0, 5.0, 0.0, 2.0, 2.0, 6.0, 0.0, 3.0, 2.0, 6.0, 4.0, 4.0, 2.0, 6.0, 7.0, 3.0, 2.0, 6.0, 7.0, 2.0, 3.0, 6.0, 8.0, 2.0, 3.0, 7.0, 8.0, 2.0, 5.0, 5.0, 8.0, 3.0, 9.0, 8.0, 12.0, 3.0, 10.0, 11.0, 12.0, 2.0, 13.0, 14.0, 14.0, 1.0, 23.0, 13.0, 23.0, 6.0, 23.0, 19.0, 30.0, 11.0, 25.0, 23.0, 31.0, 18.0, 26.0, 24.0, 33.0, 19.0, 28.0, 25.0, 40.0, 22.0, 30.0, 27.0, 41.0, 26.0, 40.0, 25.0, 45.0]"
