GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-473959858,SeaSaltPaper,4,GAME_OVER,399,31,4,6014,seasaltpaper-4P-32,25.0,24.0,30.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,7,82,4,9,1,4,6,7,38,8,63,11,9,12,7,11,14,4,8,22,18,2,8,4,18,15,16,18,8,12,12,3,"[2.0, 2.0, 2.0, 8.0, 4.0, 8.0, 8.0, 18.0, 7.0, 17.0, 11.0, 21.0, 17.0, 19.0, 14.0, 22.0, 24.0, 25.0, 20.0, 30.0]"
-473959858,SeaSaltPaper,3,GAME_OVER,333,28,4,6015,seasaltpaper-4P-32,15.0,31.0,11.0,22.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,67,3,5,0,4,6,4,28,6,59,7,7,11,7,13,9,3,6,16,18,3,6,4,17,13,15,16,4,9,9,1,"[3.0, 2.0, 11.0, 2.0, 12.0, 4.0, 15.0, 4.0, 21.0, 13.0, 20.0, 7.0, 31.0, 15.0, 22.0, 11.0]"
-473959858,SeaSaltPaper,3,GAME_OVER,331,38,4,6016,seasaltpaper-4P-32,15.0,33.0,19.0,15.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,65,4,4,2,2,6,7,26,5,50,8,6,10,5,10,7,4,5,16,17,4,5,3,12,11,13,14,5,11,8,2,"[10.0, 2.0, 2.0, 3.0, 16.0, 7.0, 4.0, 10.0, 28.0, 11.0, 7.0, 12.0, 33.0, 15.0, 15.0, 19.0]"
-473959858,SeaSaltPaper,2,GAME_OVER,219,28,4,6017,seasaltpaper-4P-32,33.0,9.0,13.0,7.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,45,1,2,0,3,5,5,15,3,28,4,4,5,3,6,6,1,3,8,11,2,3,1,8,2,8,8,5,6,7,1,"[2.0, 12.0, 2.0, 2.0, 5.0, 21.0, 5.0, 4.0, 9.0, 33.0, 7.0, 13.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,428,25,4,6018,seasaltpaper-4P-32,27.0,17.0,32.0,21.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,11,84,3,9,0,5,8,11,41,9,74,12,9,16,8,19,13,6,9,20,23,5,9,4,22,16,17,21,9,15,14,3,"[4.0, 2.0, 9.0, 3.0, 7.0, 12.0, 13.0, 5.0, 11.0, 14.0, 17.0, 17.0, 14.0, 25.0, 19.0, 20.0, 17.0, 27.0, 21.0, 32.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,407,31,4,6019,seasaltpaper-4P-32,15.0,26.0,37.0,19.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,10,81,4,9,0,5,5,8,34,9,71,10,10,10,7,18,14,3,9,19,22,4,9,4,18,20,15,19,10,11,10,2,"[3.0, 4.0, 8.0, 7.0, 12.0, 6.0, 13.0, 13.0, 21.0, 10.0, 15.0, 16.0, 22.0, 13.0, 17.0, 27.0, 26.0, 15.0, 19.0, 37.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,402,26,4,6020,seasaltpaper-4P-32,26.0,22.0,31.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,78,4,9,1,4,5,9,35,10,74,11,11,11,8,17,12,5,10,22,21,5,10,6,19,22,13,19,11,11,10,2,"[2.0, 9.0, 3.0, 3.0, 5.0, 13.0, 5.0, 14.0, 7.0, 22.0, 8.0, 16.0, 16.0, 25.0, 16.0, 23.0, 22.0, 26.0, 20.0, 31.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,445,28,4,6021,seasaltpaper-4P-32,25.0,10.0,22.0,39.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,6,93,4,9,1,4,9,10,40,8,79,9,10,15,10,17,14,7,8,25,22,7,8,5,20,21,19,20,10,13,12,2,"[1.0, 3.0, 8.0, 6.0, 2.0, 6.0, 14.0, 13.0, 5.0, 11.0, 24.0, 17.0, 8.0, 21.0, 27.0, 19.0, 10.0, 25.0, 39.0, 22.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,464,36,4,6022,seasaltpaper-4P-32,26.0,22.0,18.0,41.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,12,89,6,9,0,5,4,10,42,10,81,12,9,14,8,22,15,6,10,19,28,4,10,5,22,23,16,25,9,12,14,3,"[6.0, 9.0, 7.0, 2.0, 8.0, 21.0, 10.0, 6.0, 11.0, 23.0, 21.0, 9.0, 20.0, 25.0, 29.0, 16.0, 22.0, 26.0, 41.0, 18.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,383,30,4,6023,seasaltpaper-4P-32,23.0,30.0,22.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,72,5,7,2,3,7,8,33,8,67,7,8,12,8,19,11,6,8,17,20,4,8,3,20,15,19,17,7,8,12,3,"[10.0, 2.0, 1.0, 3.0, 14.0, 5.0, 6.0, 10.0, 17.0, 15.0, 9.0, 14.0, 26.0, 18.0, 13.0, 16.0, 30.0, 23.0, 20.0, 22.0]"
-473959858,SeaSaltPaper,5,GAME_OVER,483,29,4,6024,seasaltpaper-4P-32,32.0,29.0,30.0,34.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,7,95,3,11,2,4,6,9,46,11,88,12,14,12,14,22,19,7,11,22,21,7,11,8,28,18,25,18,11,13,13,2,"[5.0, 6.0, 8.0, 6.0, 9.0, 9.0, 10.0, 19.0, 11.0, 11.0, 21.0, 22.0, 22.0, 13.0, 23.0, 25.0, 25.0, 24.0, 26.0, 26.0, 29.0, 32.0, 34.0, 30.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,408,31,4,6025,seasaltpaper-4P-32,31.0,22.0,23.0,27.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,9,77,6,9,1,4,8,7,35,10,70,9,9,10,7,18,14,5,10,16,24,4,10,4,20,17,14,19,8,11,12,3,"[5.0, 9.0, 3.0, 3.0, 9.0, 15.0, 10.0, 11.0, 12.0, 17.0, 20.0, 14.0, 20.0, 19.0, 25.0, 20.0, 22.0, 31.0, 27.0, 23.0]"
-473959858,SeaSaltPaper,3,GAME_OVER,316,28,4,6026,seasaltpaper-4P-32,21.0,30.0,6.0,12.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,63,4,5,1,3,4,4,26,6,55,6,6,9,6,15,8,4,6,15,16,4,6,4,15,11,16,14,4,5,10,2,"[10.0, 2.0, 2.0, 1.0, 13.0, 12.0, 4.0, 3.0, 19.0, 18.0, 11.0, 4.0, 30.0, 21.0, 12.0, 6.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,412,27,4,6027,seasaltpaper-4P-32,25.0,34.0,16.0,27.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,82,5,6,1,4,7,9,37,8,76,10,9,12,8,19,14,5,8,21,24,5,8,4,20,16,21,20,8,13,13,2,"[12.0, 2.0, 3.0, 2.0, 13.0, 9.0, 12.0, 4.0, 21.0, 11.0, 20.0, 7.0, 24.0, 21.0, 22.0, 10.0, 34.0, 25.0, 27.0, 16.0]"
-473959858,SeaSaltPaper,5,GAME_OVER,401,20,4,6028,seasaltpaper-4P-32,34.0,32.0,24.0,13.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,82,4,6,1,5,5,11,39,8,76,8,10,14,10,21,13,7,8,21,22,4,8,5,22,14,20,22,11,13,12,3,"[3.0, 10.0, 3.0, 1.0, 5.0, 13.0, 5.0, 12.0, 16.0, 16.0, 6.0, 15.0, 24.0, 17.0, 8.0, 18.0, 27.0, 27.0, 10.0, 21.0, 32.0, 34.0, 13.0, 24.0]"
-473959858,SeaSaltPaper,3,GAME_OVER,329,34,4,6029,seasaltpaper-4P-32,16.0,38.0,24.0,13.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,62,4,7,0,4,6,6,25,7,53,9,7,7,5,13,8,3,7,14,18,3,7,4,12,14,11,16,7,7,8,2,"[12.0, 7.0, 3.0, 6.0, 19.0, 10.0, 6.0, 18.0, 28.0, 12.0, 9.0, 20.0, 38.0, 16.0, 13.0, 24.0]"
-473959858,SeaSaltPaper,3,GAME_OVER,343,25,4,6030,seasaltpaper-4P-32,17.0,30.0,11.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,7,68,5,4,0,4,6,7,30,6,62,9,8,11,8,14,9,4,6,17,19,4,6,4,17,12,17,17,8,10,8,2,"[3.0, 2.0, 10.0, 2.0, 10.0, 9.0, 18.0, 5.0, 18.0, 14.0, 27.0, 9.0, 30.0, 17.0, 30.0, 11.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,409,29,4,6031,seasaltpaper-4P-32,32.0,32.0,24.0,21.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,8,79,6,5,2,3,7,8,37,10,74,9,8,16,6,19,10,5,10,21,25,4,10,4,20,19,19,17,7,14,12,3,"[9.0, 7.0, 3.0, 3.0, 17.0, 12.0, 5.0, 7.0, 19.0, 18.0, 9.0, 14.0, 24.0, 27.0, 17.0, 17.0, 32.0, 32.0, 21.0, 24.0]"
-473959858,SeaSaltPaper,5,GAME_OVER,494,27,4,6032,seasaltpaper-4P-32,34.0,30.0,29.0,22.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,12,98,3,10,1,5,9,9,48,11,89,12,13,19,11,19,14,5,11,27,26,6,11,6,21,24,22,23,12,13,16,3,"[10.0, 4.0, 2.0, 3.0, 15.0, 13.0, 8.0, 5.0, 18.0, 15.0, 11.0, 14.0, 21.0, 17.0, 15.0, 24.0, 27.0, 26.0, 17.0, 27.0, 30.0, 34.0, 22.0, 29.0]"
-473959858,SeaSaltPaper,2,GAME_OVER,248,29,4,6033,seasaltpaper-4P-32,8.0,10.0,33.0,8.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,48,3,2,0,3,5,4,19,4,36,5,4,6,3,10,6,3,4,10,12,2,4,3,7,9,10,10,3,6,7,2,"[2.0, 3.0, 2.0, 13.0, 4.0, 5.0, 3.0, 24.0, 10.0, 8.0, 8.0, 33.0]"
-473959858,SeaSaltPaper,4,GAME_OVER,396,21,4,6034,seasaltpaper-4P-32,30.0,23.0,27.0,24.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,7,78,4,6,1,4,6,11,35,11,74,10,9,11,9,19,14,5,11,16,27,5,11,4,19,17,16,21,10,12,14,2,"[2.0, 6.0, 11.0, 7.0, 5.0, 9.0, 14.0, 17.0, 7.0, 21.0, 17.0, 20.0, 17.0, 23.0, 19.0, 23.0, 23.0, 30.0, 24.0, 27.0]"
