GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,7,GAME_OVER,123,6,4,4010,seasaltpaper-4P-32,30.0,28.0,16.0,17.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,32,0,1,1,7,0,3,20,5,38,2,8,9,5,5,8,2,5,9,13,3,5,1,10,14,6,9,5,10,2,1,"[1.0, 0.0, 6.0, 0.0, 12.0, 2.0, 12.0, 1.0, 13.0, 7.0, 13.0, 2.0, 15.0, 19.0, 14.0, 3.0, 16.0, 23.0, 15.0, 4.0, 20.0, 26.0, 15.0, 9.0, 27.0, 27.0, 16.0, 11.0, 28.0, 30.0, 17.0, 16.0]"
1401021403,SeaSaltPaper,10,GAME_OVER,143,4,4,4011,seasaltpaper-4P-32,15.0,25.0,30.0,24.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,36,0,0,1,10,3,3,22,6,47,4,7,12,6,12,5,3,6,11,12,2,6,2,17,13,11,16,2,5,3,1,"[1.0, 0.0, 3.0, 0.0, 5.0, 1.0, 4.0, 1.0, 6.0, 4.0, 8.0, 1.0, 14.0, 5.0, 10.0, 5.0, 15.0, 7.0, 15.0, 6.0, 15.0, 10.0, 16.0, 11.0, 16.0, 11.0, 20.0, 12.0, 16.0, 12.0, 21.0, 16.0, 17.0, 13.0, 22.0, 22.0, 18.0, 14.0, 23.0, 27.0, 25.0, 15.0, 24.0, 30.0]"
-762370467,SeaSaltPaper,5,GAME_OVER,106,7,4,4012,seasaltpaper-4P-32,8.0,30.0,30.0,18.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,27,1,3,0,6,1,3,16,3,27,2,5,7,4,4,5,4,3,9,6,3,3,2,10,4,5,6,3,8,4,1,"[7.0, 1.0, 1.0, 3.0, 13.0, 2.0, 1.0, 10.0, 16.0, 3.0, 6.0, 10.0, 21.0, 4.0, 13.0, 15.0, 21.0, 5.0, 18.0, 19.0, 30.0, 8.0, 18.0, 30.0]"
1031690385,SeaSaltPaper,5,GAME_OVER,101,3,4,4013,seasaltpaper-4P-32,17.0,9.0,15.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,27,0,2,3,3,2,4,16,3,32,2,6,6,6,5,5,5,3,8,9,1,3,1,11,10,8,5,4,4,5,3,"[4.0, 1.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 7.0, 12.0, 22.0, 11.0, 9.0, 17.0, 23.0, 12.0, 9.0, 17.0, 26.0, 12.0, 9.0, 17.0, 30.0, 15.0]"
720613369,SeaSaltPaper,12,GAME_OVER,167,2,4,4014,seasaltpaper-4P-32,31.0,28.0,26.0,26.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,42,0,1,3,10,2,5,36,11,45,6,5,15,6,11,9,7,11,12,15,6,11,9,5,12,11,16,5,12,10,0,"[8.0, 10.0, 1.0, 0.0, 9.0, 10.0, 2.0, 7.0, 10.0, 11.0, 6.0, 8.0, 10.0, 11.0, 10.0, 11.0, 11.0, 12.0, 16.0, 11.0, 12.0, 17.0, 16.0, 11.0, 16.0, 18.0, 17.0, 12.0, 17.0, 18.0, 17.0, 18.0, 20.0, 18.0, 18.0, 18.0, 22.0, 23.0, 19.0, 19.0, 24.0, 27.0, 25.0, 20.0, 25.0, 28.0, 26.0, 26.0, 28.0, 31.0, 26.0, 26.0]"
-1919035497,SeaSaltPaper,7,GAME_OVER,129,7,4,4015,seasaltpaper-4P-32,11.0,18.0,23.0,31.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,33,1,1,2,6,2,4,19,6,32,6,6,8,5,8,5,1,6,7,9,4,6,3,9,7,7,11,6,4,4,0,"[5.0, 4.0, 8.0, 7.0, 6.0, 7.0, 12.0, 11.0, 11.0, 8.0, 13.0, 12.0, 11.0, 8.0, 13.0, 15.0, 15.0, 9.0, 14.0, 16.0, 16.0, 9.0, 18.0, 16.0, 16.0, 9.0, 19.0, 21.0, 18.0, 11.0, 31.0, 23.0]"
-468847025,SeaSaltPaper,6,GAME_OVER,110,8,4,4016,seasaltpaper-4P-32,17.0,35.0,8.0,16.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,28,2,3,4,3,1,1,14,6,31,2,5,8,5,10,4,1,6,7,4,4,6,1,4,5,7,11,3,7,4,0,"[5.0, 1.0, 1.0, 1.0, 6.0, 4.0, 1.0, 1.0, 13.0, 7.0, 4.0, 5.0, 13.0, 15.0, 10.0, 5.0, 18.0, 16.0, 11.0, 7.0, 24.0, 17.0, 12.0, 8.0, 35.0, 17.0, 16.0, 8.0]"
-278271453,SeaSaltPaper,8,GAME_OVER,125,0,4,4017,seasaltpaper-4P-32,30.0,19.0,27.0,12.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,31,1,2,2,7,1,6,18,10,42,0,5,9,8,9,5,5,10,13,12,2,10,3,11,16,6,10,7,7,3,1,"[8.0, 1.0, 0.0, 1.0, 8.0, 15.0, 3.0, 1.0, 9.0, 16.0, 4.0, 11.0, 10.0, 16.0, 4.0, 20.0, 14.0, 17.0, 5.0, 22.0, 15.0, 21.0, 5.0, 22.0, 18.0, 23.0, 11.0, 26.0, 19.0, 27.0, 12.0, 27.0, 19.0, 30.0, 12.0, 27.0]"
362472442,SeaSaltPaper,7,GAME_OVER,128,6,4,4018,seasaltpaper-4P-32,23.0,16.0,32.0,12.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,33,0,1,2,6,2,3,16,4,41,2,2,8,6,12,6,3,4,10,11,3,4,0,11,12,8,14,2,4,5,1,"[2.0, 9.0, 1.0, 1.0, 2.0, 11.0, 1.0, 5.0, 2.0, 15.0, 1.0, 8.0, 6.0, 16.0, 5.0, 13.0, 6.0, 16.0, 5.0, 16.0, 15.0, 17.0, 5.0, 16.0, 15.0, 18.0, 8.0, 21.0, 16.0, 23.0, 12.0, 32.0]"
1766446454,SeaSaltPaper,7,GAME_OVER,135,5,4,4019,seasaltpaper-4P-32,24.0,34.0,27.0,7.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,33,0,0,2,6,2,7,19,7,40,4,4,7,3,14,8,3,7,7,16,3,7,1,11,8,7,17,3,10,5,1,"[11.0, 3.0, 0.0, 4.0, 13.0, 11.0, 4.0, 5.0, 17.0, 12.0, 4.0, 11.0, 22.0, 13.0, 4.0, 14.0, 27.0, 14.0, 4.0, 14.0, 28.0, 20.0, 6.0, 15.0, 29.0, 21.0, 7.0, 24.0, 34.0, 24.0, 7.0, 27.0]"
