GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(BuildFromDiscard),ActionsCount(DiscardCard),ActionsCount(PlayCard),ActionsCount(BuildStage),Boards(Player 1 Board),Boards(Player 0 Board),Boards(Player 2 Board),Boards(Player 3 Board),CardTypeCount(CivilianStructures),CardTypeCount(ManufacturedGoods),CardTypeCount(MilitaryStructures),CardTypeCount(RawMaterials),CardTypeCount(Guilds),CardTypeCount(CommercialStructures),CardTypeCount(ScientificStructures),Resources(Clay),Resources(Wood_Ore),Resources(Ore),Resources(Textile),Resources(Wood),Resources(Wood_Clay),Resources(Wood_Stone),Resources(ScienceWild),Resources(Shield),Resources(Glass),Resources(Ore_Clay),Resources(Stone),Resources(Stone_Clay),Resources(Papyrus),Resources(Compass),Resources(RareWild),Resources(Coin),Resources(BasicWild),Resources(Stone_Ore),Resources(Cog),Resources(Tablet),Resources(Victory),ScoresPerRound(ScoresPerRound)
-291341923,Wonders7,18,GAME_OVER,72,0,4,4259,wonders7-4P-32,38.0,25.0,53.0,26.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,31,41,0,TheHangingGardensOfBabylon,TheLighthouseOfAlexandria,ThePyramidsOfGiza,TheStatueOfZeusInOlympia,13,3,7,7,3,5,3,4,0,1,1,4,0,0,1,14,1,1,2,1,2,1,0,107,1,0,0,2,84,"[1.0, 2.0, 2.0, 2.0, 2.0, 5.0, 3.0, 2.0, 2.0, 6.0, 2.0, 2.0, 3.0, 7.0, 2.0, 2.0, 3.0, 10.0, 3.0, 5.0, 6.0, 11.0, 3.0, 5.0, 6.0, 9.0, 4.0, 5.0, 8.0, 12.0, 5.0, 6.0, 8.0, 12.0, 5.0, 6.0, 13.0, 13.0, 6.0, 10.0, 14.0, 13.0, 8.0, 11.0, 15.0, 15.0, 7.0, 12.0, 14.0, 19.0, 5.0, 26.0, 15.0, 24.0, 12.0, 25.0, 20.0, 25.0, 13.0, 32.0, 22.0, 27.0, 19.0, 34.0, 26.0, 33.0, 21.0, 39.0, 27.0, 34.0, 22.0, 43.0, 25.0, 38.0, 26.0, 53.0]"
2075953959,Wonders7,18,GAME_OVER,72,0,4,4260,wonders7-4P-32,40.0,41.0,32.0,29.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,23,47,2,ThePyramidsOfGiza,TheLighthouseOfAlexandria,TheColossusOfRhodes,TheTempleOfArtemisInEphesus,10,3,6,10,2,8,8,6,0,4,0,3,0,1,0,11,2,0,2,1,3,3,1,104,0,0,2,3,71,"[0.0, 2.0, 1.0, 0.0, 1.0, 5.0, 4.0, 0.0, 2.0, 6.0, 7.0, 1.0, 2.0, 7.0, 8.0, 1.0, 4.0, 8.0, 8.0, 2.0, 4.0, 8.0, 9.0, 3.0, 7.0, 5.0, 12.0, 1.0, 10.0, 6.0, 12.0, 1.0, 11.0, 5.0, 17.0, 4.0, 13.0, 5.0, 16.0, 7.0, 13.0, 5.0, 17.0, 11.0, 13.0, 5.0, 19.0, 12.0, 17.0, 16.0, 23.0, 11.0, 20.0, 20.0, 25.0, 10.0, 21.0, 25.0, 26.0, 13.0, 29.0, 28.0, 27.0, 18.0, 35.0, 29.0, 28.0, 24.0, 43.0, 30.0, 30.0, 27.0, 41.0, 40.0, 29.0, 32.0]"
-1664912588,Wonders7,18,GAME_OVER,72,0,4,4261,wonders7-4P-32,24.0,38.0,25.0,38.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,29,41,2,TheStatueOfZeusInOlympia,TheMausoleumOfHalicarnassus,ThePyramidsOfGiza,TheTempleOfArtemisInEphesus,8,1,7,8,2,10,5,6,0,2,1,3,0,0,0,13,1,0,4,1,1,1,1,112,1,0,2,2,67,"[2.0, 1.0, 2.0, 2.0, 2.0, 4.0, 3.0, 3.0, 2.0, 4.0, 3.0, 4.0, 2.0, 7.0, 4.0, 6.0, 3.0, 7.0, 5.0, 7.0, 3.0, 8.0, 5.0, 7.0, 6.0, 9.0, 6.0, 6.0, 6.0, 9.0, 10.0, 7.0, 7.0, 10.0, 11.0, 8.0, 7.0, 11.0, 10.0, 8.0, 8.0, 11.0, 10.0, 12.0, 7.0, 12.0, 9.0, 12.0, 18.0, 12.0, 18.0, 13.0, 18.0, 13.0, 22.0, 14.0, 24.0, 20.0, 22.0, 16.0, 25.0, 21.0, 25.0, 22.0, 27.0, 23.0, 27.0, 26.0, 28.0, 26.0, 28.0, 27.0, 38.0, 24.0, 38.0, 25.0]"
207745270,Wonders7,18,GAME_OVER,72,0,4,4262,wonders7-4P-32,32.0,42.0,23.0,41.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,27,43,2,TheStatueOfZeusInOlympia,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,ThePyramidsOfGiza,8,4,8,7,2,9,5,2,0,1,3,5,0,1,0,15,2,0,2,1,1,2,1,117,1,0,2,1,70,"[1.0, 2.0, 2.0, 2.0, 0.0, 3.0, 3.0, 2.0, 0.0, 3.0, 6.0, 3.0, 1.0, 3.0, 7.0, 3.0, 2.0, 6.0, 7.0, 4.0, 3.0, 7.0, 8.0, 3.0, 3.0, 13.0, 6.0, 5.0, 3.0, 14.0, 6.0, 6.0, 2.0, 13.0, 7.0, 7.0, 2.0, 14.0, 8.0, 7.0, 3.0, 15.0, 8.0, 8.0, 6.0, 18.0, 8.0, 11.0, 17.0, 19.0, 16.0, 11.0, 25.0, 18.0, 18.0, 12.0, 32.0, 18.0, 25.0, 14.0, 34.0, 20.0, 30.0, 16.0, 36.0, 21.0, 34.0, 17.0, 38.0, 22.0, 37.0, 25.0, 42.0, 32.0, 41.0, 23.0]"
1936746789,Wonders7,18,GAME_OVER,72,0,4,4263,wonders7-4P-32,33.0,37.0,19.0,35.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,34,38,0,TheLighthouseOfAlexandria,TheColossusOfRhodes,TheTempleOfArtemisInEphesus,TheMausoleumOfHalicarnassus,5,2,8,8,4,2,9,3,0,3,2,5,0,0,0,17,1,1,2,0,2,1,0,112,0,0,4,4,51,"[1.0, 2.0, 2.0, 1.0, 2.0, 3.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 3.0, 8.0, 4.0, 8.0, 2.0, 9.0, 3.0, 11.0, 3.0, 10.0, 5.0, 12.0, 3.0, 11.0, 4.0, 13.0, 7.0, 12.0, 4.0, 14.0, 8.0, 11.0, 4.0, 15.0, 9.0, 20.0, 13.0, 16.0, 8.0, 26.0, 20.0, 16.0, 14.0, 26.0, 25.0, 20.0, 15.0, 27.0, 31.0, 21.0, 19.0, 26.0, 34.0, 24.0, 20.0, 27.0, 35.0, 25.0, 21.0, 37.0, 33.0, 35.0, 19.0]"
1344216690,Wonders7,18,GAME_OVER,72,0,4,4264,wonders7-4P-32,27.0,31.0,20.0,38.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,43,29,0,TheMausoleumOfHalicarnassus,ThePyramidsOfGiza,TheHangingGardensOfBabylon,TheStatueOfZeusInOlympia,5,3,4,6,1,3,7,3,0,2,2,4,0,0,0,8,1,0,2,1,1,4,0,140,0,0,2,1,43,"[4.0, 1.0, 1.0, 2.0, 5.0, 0.0, 2.0, 2.0, 5.0, 0.0, 3.0, 3.0, 6.0, 1.0, 3.0, 3.0, 6.0, 2.0, 4.0, 4.0, 7.0, 3.0, 5.0, 7.0, 9.0, 5.0, 4.0, 7.0, 10.0, 6.0, 5.0, 8.0, 11.0, 7.0, 6.0, 9.0, 12.0, 8.0, 6.0, 10.0, 13.0, 9.0, 6.0, 10.0, 14.0, 9.0, 15.0, 11.0, 22.0, 14.0, 13.0, 11.0, 23.0, 15.0, 15.0, 12.0, 24.0, 16.0, 22.0, 13.0, 25.0, 17.0, 25.0, 14.0, 26.0, 16.0, 31.0, 19.0, 27.0, 17.0, 34.0, 22.0, 31.0, 27.0, 38.0, 20.0]"
-2143212841,Wonders7,18,GAME_OVER,72,0,4,4265,wonders7-4P-32,24.0,37.0,17.0,31.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,41,31,0,TheHangingGardensOfBabylon,TheStatueOfZeusInOlympia,ThePyramidsOfGiza,TheMausoleumOfHalicarnassus,5,3,8,6,3,3,3,4,0,3,2,1,0,0,0,14,1,1,4,0,1,3,0,133,0,0,0,0,45,"[1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 5.0, 6.0, 5.0, 3.0, 6.0, 5.0, 6.0, 4.0, 7.0, 6.0, 7.0, 6.0, 6.0, 6.0, 7.0, 9.0, 7.0, 6.0, 8.0, 10.0, 8.0, 7.0, 8.0, 9.0, 9.0, 8.0, 9.0, 13.0, 10.0, 8.0, 10.0, 12.0, 17.0, 11.0, 10.0, 14.0, 18.0, 13.0, 14.0, 16.0, 22.0, 14.0, 15.0, 19.0, 24.0, 19.0, 16.0, 25.0, 25.0, 20.0, 17.0, 27.0, 26.0, 21.0, 19.0, 37.0, 24.0, 31.0, 17.0]"
-1584933973,Wonders7,18,GAME_OVER,72,0,4,4266,wonders7-4P-32,47.0,37.0,39.0,25.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,31,39,2,TheMausoleumOfHalicarnassus,TheTempleOfArtemisInEphesus,TheLighthouseOfAlexandria,TheHangingGardensOfBabylon,8,1,8,8,2,3,9,2,0,3,1,4,0,1,1,17,1,1,2,0,2,3,0,107,1,0,3,4,63,"[2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 3.0, 2.0, 4.0, 2.0, 3.0, 3.0, 5.0, 3.0, 4.0, 4.0, 8.0, 4.0, 5.0, 3.0, 8.0, 5.0, 6.0, 4.0, 10.0, 5.0, 6.0, 3.0, 10.0, 9.0, 9.0, 5.0, 11.0, 10.0, 10.0, 5.0, 10.0, 13.0, 10.0, 6.0, 12.0, 13.0, 10.0, 6.0, 16.0, 14.0, 10.0, 7.0, 23.0, 17.0, 11.0, 13.0, 24.0, 24.0, 12.0, 15.0, 29.0, 30.0, 12.0, 22.0, 30.0, 39.0, 20.0, 29.0, 31.0, 38.0, 26.0, 29.0, 32.0, 43.0, 27.0, 30.0, 37.0, 47.0, 25.0, 39.0]"
-401281291,Wonders7,18,GAME_OVER,72,0,4,4267,wonders7-4P-32,39.0,32.0,31.0,43.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,20,50,2,ThePyramidsOfGiza,TheColossusOfRhodes,TheTempleOfArtemisInEphesus,TheStatueOfZeusInOlympia,9,3,10,8,4,9,7,5,0,2,1,3,0,0,1,21,1,1,2,1,2,3,1,91,1,0,2,2,71,"[0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 2.0, 3.0, 0.0, 3.0, 2.0, 6.0, 0.0, 4.0, 2.0, 7.0, 0.0, 5.0, 2.0, 6.0, 0.0, 8.0, 3.0, 7.0, 0.0, 9.0, 5.0, 7.0, 3.0, 8.0, 4.0, 8.0, 3.0, 10.0, 5.0, 7.0, 7.0, 10.0, 7.0, 7.0, 8.0, 10.0, 11.0, 8.0, 9.0, 10.0, 11.0, 11.0, 13.0, 12.0, 21.0, 18.0, 22.0, 16.0, 22.0, 18.0, 22.0, 19.0, 27.0, 25.0, 27.0, 27.0, 28.0, 24.0, 29.0, 32.0, 30.0, 26.0, 34.0, 35.0, 33.0, 27.0, 32.0, 39.0, 43.0, 31.0]"
-606606250,Wonders7,18,GAME_OVER,73,0,4,4268,wonders7-4P-32,37.0,44.0,28.0,41.0,wonders7-4P-32,wonders7-4P-32,wonders7-4P-32,0,20,51,2,ThePyramidsOfGiza,TheColossusOfRhodes,TheLighthouseOfAlexandria,TheMausoleumOfHalicarnassus,10,3,11,8,4,9,6,1,0,6,2,4,0,1,0,23,2,0,0,1,1,3,0,91,1,0,3,0,78,"[2.0, 1.0, 2.0, 4.0, 2.0, 2.0, 3.0, 5.0, 2.0, 2.0, 6.0, 4.0, 2.0, 2.0, 6.0, 4.0, 2.0, 3.0, 6.0, 5.0, 3.0, 5.0, 9.0, 5.0, 3.0, 8.0, 10.0, 4.0, 3.0, 8.0, 9.0, 5.0, 2.0, 10.0, 9.0, 6.0, 3.0, 13.0, 10.0, 6.0, 3.0, 13.0, 14.0, 6.0, 3.0, 17.0, 15.0, 10.0, 17.0, 21.0, 21.0, 14.0, 21.0, 25.0, 26.0, 16.0, 28.0, 31.0, 25.0, 21.0, 33.0, 35.0, 26.0, 27.0, 33.0, 38.0, 29.0, 29.0, 34.0, 39.0, 31.0, 30.0, 44.0, 37.0, 41.0, 28.0]"
