GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1022387316,SeaSaltPaper,2,GAME_OVER,193,19,4,2507,seasaltpaper-4P-32,5.0,7.0,40.0,5.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,29,4,1,0,3,2,3,15,3,25,3,2,6,1,7,3,3,3,10,8,0,3,2,5,6,7,8,5,4,4,2,"[2.0, 2.0, 2.0, 14.0, 4.0, 3.0, 3.0, 27.0, 7.0, 5.0, 5.0, 40.0]"
1401021403,SeaSaltPaper,2,GAME_OVER,224,19,4,2508,seasaltpaper-4P-32,30.0,20.0,23.0,28.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,7,38,2,0,0,3,4,4,13,3,29,3,0,6,1,9,3,2,3,12,10,1,3,2,10,6,4,10,4,3,5,1,"[4.0, 10.0, 13.0, 14.0, 18.0, 14.0, 17.0, 15.0, 20.0, 30.0, 28.0, 23.0]"
-762370467,SeaSaltPaper,3,GAME_OVER,265,17,4,2509,seasaltpaper-4P-32,24.0,27.0,22.0,35.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,41,2,2,1,3,7,2,21,8,37,5,3,4,4,6,8,5,8,14,11,3,8,3,15,9,6,12,3,5,2,2,"[17.0, 2.0, 10.0, 6.0, 22.0, 5.0, 21.0, 15.0, 23.0, 17.0, 24.0, 17.0, 27.0, 24.0, 35.0, 22.0]"
1031690385,SeaSaltPaper,2,GAME_OVER,199,19,4,2510,seasaltpaper-4P-32,16.0,35.0,25.0,20.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,33,1,1,2,1,3,5,12,2,26,3,1,1,0,9,6,4,2,11,8,1,2,3,10,5,6,5,5,4,3,1,"[10.0, 8.0, 11.0, 5.0, 25.0, 10.0, 16.0, 20.0, 35.0, 16.0, 20.0, 25.0]"
720613369,SeaSaltPaper,2,GAME_OVER,216,20,4,2511,seasaltpaper-4P-32,5.0,10.0,11.0,43.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,32,2,3,0,3,3,2,18,4,27,3,3,7,3,7,6,3,4,7,8,3,4,1,8,7,7,9,3,4,4,1,"[2.0, 1.0, 16.0, 2.0, 8.0, 3.0, 29.0, 8.0, 10.0, 5.0, 43.0, 11.0]"
-1919035497,SeaSaltPaper,3,GAME_OVER,250,20,4,2512,seasaltpaper-4P-32,28.0,40.0,16.0,9.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,6,38,3,2,0,4,3,3,19,4,36,3,2,5,1,10,7,5,4,11,14,2,4,4,10,10,6,12,4,6,3,1,"[13.0, 3.0, 3.0, 3.0, 26.0, 5.0, 5.0, 9.0, 27.0, 20.0, 7.0, 11.0, 40.0, 28.0, 9.0, 16.0]"
-468847025,SeaSaltPaper,3,GAME_OVER,252,20,4,2513,seasaltpaper-4P-32,35.0,25.0,15.0,14.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,38,3,2,1,3,3,5,21,6,32,3,4,8,3,11,5,8,6,8,8,3,6,5,12,7,9,5,1,8,5,3,"[15.0, 1.0, 3.0, 2.0, 17.0, 13.0, 5.0, 3.0, 19.0, 25.0, 7.0, 7.0, 25.0, 35.0, 14.0, 15.0]"
-278271453,SeaSaltPaper,2,GAME_OVER,204,20,4,2514,seasaltpaper-4P-32,22.0,31.0,10.0,21.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,4,30,0,2,1,2,4,4,15,3,24,2,1,4,3,5,6,4,3,11,7,2,3,2,6,6,7,9,4,3,3,1,"[14.0, 2.0, 2.0, 1.0, 17.0, 15.0, 15.0, 3.0, 31.0, 22.0, 21.0, 10.0]"
362472442,SeaSaltPaper,3,GAME_OVER,266,12,4,2515,seasaltpaper-4P-32,31.0,27.0,40.0,25.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,6,41,5,3,2,2,4,3,17,7,49,4,4,5,6,16,5,4,7,10,15,2,7,3,16,10,7,11,3,8,8,1,"[8.0, 3.0, 11.0, 9.0, 12.0, 19.0, 13.0, 22.0, 20.0, 27.0, 24.0, 29.0, 27.0, 31.0, 25.0, 40.0]"
1766446454,SeaSaltPaper,2,GAME_OVER,202,19,4,2516,seasaltpaper-4P-32,22.0,4.0,30.0,39.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,5,33,5,0,0,3,3,2,13,3,26,3,1,6,1,12,1,3,3,7,7,2,3,1,8,5,9,6,2,4,2,2,"[1.0, 1.0, 5.0, 11.0, 2.0, 10.0, 21.0, 20.0, 4.0, 22.0, 39.0, 30.0]"
