GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
102545501,SeaSaltPaper,8,GAME_OVER,399,12,4,3453,seasaltpaper-4P-32,29.0,24.0,17.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,49,1,1,2,7,1,7,31,6,48,7,5,15,10,12,8,5,6,11,13,4,6,2,21,18,6,9,7,7,10,2,"[2.0, 7.0, 1.0, 2.0, 3.0, 11.0, 3.0, 8.0, 4.0, 17.0, 6.0, 9.0, 6.0, 23.0, 7.0, 10.0, 13.0, 25.0, 8.0, 12.0, 21.0, 26.0, 10.0, 14.0, 23.0, 27.0, 17.0, 15.0, 24.0, 28.0, 24.0, 17.0, 24.0, 29.0, 30.0, 17.0]"
691415869,SeaSaltPaper,8,GAME_OVER,409,17,4,3454,seasaltpaper-4P-32,21.0,14.0,33.0,33.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,1,52,2,2,1,8,1,11,25,2,51,7,11,10,6,14,8,3,2,15,13,8,2,2,17,15,9,11,10,7,7,1,"[6.0, 1.0, 1.0, 1.0, 8.0, 2.0, 2.0, 13.0, 9.0, 8.0, 3.0, 16.0, 10.0, 14.0, 5.0, 17.0, 11.0, 15.0, 13.0, 18.0, 12.0, 16.0, 15.0, 24.0, 13.0, 17.0, 22.0, 26.0, 14.0, 18.0, 29.0, 27.0, 14.0, 21.0, 33.0, 33.0]"
-241214571,SeaSaltPaper,6,GAME_OVER,371,19,4,3455,seasaltpaper-4P-32,23.0,32.0,24.0,14.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,45,2,3,1,6,2,4,25,4,47,7,7,9,8,13,6,5,4,10,11,4,4,4,19,13,6,10,5,11,2,2,"[1.0, 7.0, 1.0, 2.0, 4.0, 10.0, 6.0, 6.0, 7.0, 12.0, 8.0, 15.0, 8.0, 13.0, 9.0, 21.0, 11.0, 21.0, 10.0, 22.0, 20.0, 22.0, 12.0, 23.0, 32.0, 23.0, 14.0, 24.0]"
691728139,SeaSaltPaper,7,GAME_OVER,437,23,4,3456,seasaltpaper-4P-32,18.0,26.0,33.0,23.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,53,3,4,1,7,0,3,27,4,61,9,10,9,7,13,8,2,4,15,18,7,4,4,16,16,11,16,3,7,10,1,"[7.0, 1.0, 1.0, 2.0, 8.0, 3.0, 2.0, 10.0, 14.0, 6.0, 6.0, 16.0, 15.0, 13.0, 8.0, 17.0, 17.0, 14.0, 18.0, 18.0, 23.0, 16.0, 20.0, 19.0, 24.0, 17.0, 21.0, 25.0, 26.0, 18.0, 23.0, 33.0]"
1559931186,SeaSaltPaper,7,GAME_OVER,456,21,4,3457,seasaltpaper-4P-32,31.0,30.0,31.0,29.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,54,1,3,3,5,2,5,34,8,55,6,6,12,4,16,12,4,8,18,16,3,8,6,15,20,11,14,4,9,10,2,"[3.0, 3.0, 8.0, 1.0, 4.0, 4.0, 9.0, 8.0, 9.0, 6.0, 12.0, 11.0, 11.0, 13.0, 14.0, 13.0, 18.0, 19.0, 18.0, 16.0, 20.0, 21.0, 25.0, 19.0, 22.0, 23.0, 29.0, 27.0, 30.0, 31.0, 29.0, 31.0]"
-247602995,SeaSaltPaper,9,GAME_OVER,470,18,4,3458,seasaltpaper-4P-32,28.0,21.0,33.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,59,0,3,2,8,1,3,34,9,56,8,8,8,6,9,14,7,9,14,19,4,9,5,18,13,15,14,7,5,9,3,"[4.0, 2.0, 3.0, 5.0, 5.0, 8.0, 5.0, 5.0, 8.0, 15.0, 7.0, 6.0, 9.0, 21.0, 8.0, 7.0, 10.0, 22.0, 9.0, 13.0, 10.0, 23.0, 14.0, 17.0, 11.0, 24.0, 16.0, 25.0, 13.0, 25.0, 26.0, 26.0, 19.0, 27.0, 28.0, 27.0, 21.0, 28.0, 30.0, 33.0]"
-1110139207,SeaSaltPaper,5,GAME_OVER,306,19,4,3459,seasaltpaper-4P-32,11.0,16.0,31.0,12.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,36,1,1,1,5,2,7,18,4,37,2,4,10,8,9,4,5,4,10,10,3,4,1,12,8,11,10,5,7,3,2,"[7.0, 2.0, 1.0, 1.0, 9.0, 5.0, 2.0, 7.0, 10.0, 7.0, 3.0, 15.0, 11.0, 8.0, 9.0, 17.0, 11.0, 9.0, 12.0, 28.0, 16.0, 11.0, 12.0, 31.0]"
-427537107,SeaSaltPaper,7,GAME_OVER,314,15,4,3460,seasaltpaper-4P-32,30.0,25.0,24.0,10.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,0,37,2,2,2,6,0,5,29,4,34,5,6,10,4,15,12,4,4,5,7,3,4,1,6,9,16,10,6,8,7,2,"[6.0, 4.0, 2.0, 1.0, 12.0, 8.0, 2.0, 2.0, 13.0, 9.0, 3.0, 8.0, 14.0, 10.0, 4.0, 14.0, 21.0, 11.0, 4.0, 19.0, 23.0, 17.0, 5.0, 20.0, 24.0, 23.0, 7.0, 20.0, 25.0, 30.0, 10.0, 24.0]"
-560180069,SeaSaltPaper,8,GAME_OVER,524,24,4,3461,seasaltpaper-4P-32,31.0,29.0,22.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,2,66,3,2,3,6,1,11,28,8,66,7,12,11,6,20,7,7,8,14,21,5,8,4,20,19,10,15,6,13,10,3,"[6.0, 4.0, 2.0, 3.0, 11.0, 4.0, 2.0, 5.0, 16.0, 6.0, 9.0, 7.0, 17.0, 13.0, 10.0, 8.0, 18.0, 14.0, 17.0, 9.0, 20.0, 16.0, 25.0, 10.0, 28.0, 18.0, 28.0, 14.0, 29.0, 26.0, 29.0, 15.0, 29.0, 31.0, 30.0, 22.0]"
-2062975035,SeaSaltPaper,6,GAME_OVER,398,16,4,3462,seasaltpaper-4P-32,19.0,8.0,30.0,30.0,seasaltpaper-4P-32,seasaltpaper-4P-32,seasaltpaper-4P-32,3,52,0,1,0,7,1,7,28,3,46,7,7,11,5,14,10,3,3,10,14,2,3,3,13,10,6,15,7,13,10,2,"[1.0, 1.0, 2.0, 12.0, 2.0, 6.0, 4.0, 19.0, 4.0, 8.0, 6.0, 26.0, 5.0, 9.0, 12.0, 27.0, 6.0, 11.0, 20.0, 28.0, 7.0, 17.0, 22.0, 29.0, 8.0, 19.0, 30.0, 30.0]"
