GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ScoresPerTurn(ScoresPerTurn)
1194499819,DotsAndBoxes,0,GAME_OVER,264,146,2,2507,dotsandboxes-32,60.0,61.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 4.0, 1.0, 5.0, 1.0, 5.0, 1.0, 7.0, 1.0, 9.0, 1.0, 10.0, 1.0, 10.0, 1.0, 11.0, 1.0, 11.0, 1.0, 11.0, 1.0, 11.0, 1.0, 11.0, 1.0, 11.0, 1.0, 11.0, 1.0, 12.0, 2.0, 12.0, 2.0, 12.0, 2.0, 12.0, 3.0, 12.0, 4.0, 12.0, 4.0, 12.0, 4.0, 12.0, 4.0, 12.0, 4.0, 14.0, 5.0, 14.0, 5.0, 16.0, 6.0, 16.0, 7.0, 16.0, 8.0, 17.0, 17.0, 20.0, 22.0, 20.0, 22.0, 20.0, 23.0, 21.0, 24.0, 21.0, 31.0, 23.0, 32.0, 25.0, 33.0, 27.0, 33.0, 29.0, 33.0, 31.0, 35.0, 36.0, 36.0, 38.0, 38.0, 39.0, 40.0, 40.0, 46.0, 45.0, 51.0, 49.0, 53.0, 50.0, 56.0, 57.0, 56.0, 61.0, 60.0]"
-2045349193,DotsAndBoxes,0,GAME_OVER,264,145,2,2508,dotsandboxes-32,65.0,56.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 5.0, 0.0, 5.0, 0.0, 6.0, 1.0, 7.0, 2.0, 7.0, 3.0, 7.0, 3.0, 8.0, 5.0, 8.0, 5.0, 8.0, 5.0, 10.0, 5.0, 11.0, 6.0, 13.0, 7.0, 13.0, 8.0, 16.0, 9.0, 18.0, 9.0, 19.0, 10.0, 24.0, 10.0, 25.0, 11.0, 25.0, 12.0, 25.0, 12.0, 25.0, 12.0, 30.0, 13.0, 31.0, 13.0, 31.0, 15.0, 32.0, 15.0, 33.0, 16.0, 35.0, 18.0, 36.0, 18.0, 38.0, 28.0, 38.0, 28.0, 42.0, 29.0, 42.0, 30.0, 43.0, 32.0, 44.0, 35.0, 46.0, 38.0, 49.0, 41.0, 54.0, 43.0, 58.0, 45.0, 60.0, 47.0, 60.0, 52.0, 61.0, 56.0, 63.0, 56.0, 65.0]"
389658217,DotsAndBoxes,0,GAME_OVER,264,147,2,2509,dotsandboxes-32,50.0,71.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 2.0, 4.0, 2.0, 4.0, 2.0, 6.0, 2.0, 6.0, 2.0, 6.0, 3.0, 7.0, 3.0, 8.0, 3.0, 9.0, 3.0, 9.0, 4.0, 9.0, 5.0, 9.0, 5.0, 9.0, 5.0, 10.0, 5.0, 12.0, 5.0, 12.0, 7.0, 13.0, 7.0, 13.0, 9.0, 14.0, 9.0, 15.0, 10.0, 16.0, 10.0, 17.0, 12.0, 17.0, 12.0, 18.0, 13.0, 22.0, 14.0, 24.0, 15.0, 24.0, 16.0, 25.0, 17.0, 25.0, 17.0, 31.0, 17.0, 32.0, 18.0, 34.0, 19.0, 38.0, 19.0, 38.0, 21.0, 38.0, 21.0, 41.0, 21.0, 45.0, 23.0, 52.0, 28.0, 52.0, 32.0, 54.0, 35.0, 56.0, 39.0, 58.0, 42.0, 63.0, 42.0, 71.0, 46.0, 71.0, 50.0]"
284208330,DotsAndBoxes,0,GAME_OVER,264,146,2,2510,dotsandboxes-32,66.0,55.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 3.0, 4.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 3.0, 5.0, 4.0, 5.0, 6.0, 5.0, 6.0, 5.0, 6.0, 5.0, 7.0, 7.0, 8.0, 8.0, 8.0, 10.0, 8.0, 10.0, 9.0, 11.0, 9.0, 12.0, 9.0, 14.0, 11.0, 14.0, 11.0, 15.0, 13.0, 15.0, 13.0, 15.0, 15.0, 16.0, 15.0, 19.0, 18.0, 21.0, 18.0, 25.0, 21.0, 27.0, 24.0, 28.0, 24.0, 31.0, 25.0, 35.0, 26.0, 37.0, 27.0, 43.0, 33.0, 44.0, 34.0, 44.0, 38.0, 49.0, 42.0, 51.0, 43.0, 54.0, 47.0, 55.0, 49.0, 56.0, 51.0, 60.0, 55.0, 66.0]"
-712378301,DotsAndBoxes,0,GAME_OVER,264,146,2,2511,dotsandboxes-32,60.0,61.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 6.0, 0.0, 7.0, 0.0, 7.0, 3.0, 7.0, 3.0, 7.0, 3.0, 7.0, 3.0, 7.0, 3.0, 7.0, 3.0, 7.0, 4.0, 8.0, 4.0, 10.0, 5.0, 10.0, 8.0, 10.0, 8.0, 11.0, 11.0, 12.0, 13.0, 13.0, 13.0, 13.0, 15.0, 14.0, 17.0, 17.0, 17.0, 17.0, 17.0, 18.0, 17.0, 20.0, 17.0, 22.0, 17.0, 24.0, 17.0, 26.0, 17.0, 26.0, 19.0, 27.0, 22.0, 27.0, 23.0, 27.0, 30.0, 28.0, 31.0, 30.0, 32.0, 34.0, 37.0, 35.0, 37.0, 35.0, 41.0, 35.0, 42.0, 36.0, 45.0, 39.0, 46.0, 48.0, 49.0, 52.0, 53.0, 56.0, 55.0, 57.0, 59.0, 61.0, 60.0]"
1380862425,DotsAndBoxes,0,GAME_OVER,264,146,2,2512,dotsandboxes-32,64.0,57.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0, 4.0, 1.0, 4.0, 1.0, 4.0, 1.0, 5.0, 3.0, 5.0, 4.0, 5.0, 4.0, 6.0, 6.0, 6.0, 6.0, 7.0, 6.0, 7.0, 6.0, 7.0, 6.0, 8.0, 6.0, 8.0, 6.0, 8.0, 8.0, 9.0, 9.0, 9.0, 12.0, 9.0, 12.0, 10.0, 13.0, 11.0, 15.0, 12.0, 15.0, 13.0, 15.0, 13.0, 15.0, 13.0, 15.0, 14.0, 17.0, 16.0, 17.0, 16.0, 19.0, 22.0, 22.0, 23.0, 25.0, 23.0, 25.0, 26.0, 25.0, 26.0, 25.0, 26.0, 26.0, 33.0, 28.0, 34.0, 29.0, 34.0, 38.0, 37.0, 40.0, 39.0, 40.0, 42.0, 48.0, 42.0, 50.0, 44.0, 54.0, 46.0, 58.0, 54.0, 61.0, 57.0, 64.0]"
1160952082,DotsAndBoxes,0,GAME_OVER,264,145,2,2513,dotsandboxes-32,61.0,60.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 1.0, 4.0, 2.0, 4.0, 2.0, 4.0, 2.0, 4.0, 3.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 5.0, 8.0, 9.0, 9.0, 9.0, 10.0, 9.0, 11.0, 9.0, 12.0, 10.0, 14.0, 12.0, 14.0, 12.0, 15.0, 12.0, 15.0, 14.0, 15.0, 14.0, 17.0, 15.0, 19.0, 18.0, 20.0, 18.0, 23.0, 21.0, 25.0, 23.0, 26.0, 25.0, 31.0, 27.0, 32.0, 28.0, 33.0, 29.0, 33.0, 29.0, 35.0, 36.0, 39.0, 37.0, 43.0, 41.0, 43.0, 46.0, 47.0, 48.0, 47.0, 50.0, 49.0, 52.0, 55.0, 52.0, 56.0, 54.0, 58.0, 58.0, 60.0, 59.0, 60.0, 61.0]"
-719299155,DotsAndBoxes,0,GAME_OVER,264,144,2,2514,dotsandboxes-32,62.0,59.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 3.0, 3.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 9.0, 8.0, 9.0, 8.0, 9.0, 9.0, 10.0, 11.0, 11.0, 14.0, 13.0, 14.0, 14.0, 15.0, 14.0, 16.0, 15.0, 16.0, 16.0, 17.0, 17.0, 17.0, 17.0, 17.0, 17.0, 24.0, 17.0, 25.0, 18.0, 26.0, 22.0, 26.0, 24.0, 28.0, 26.0, 34.0, 26.0, 36.0, 28.0, 37.0, 32.0, 37.0, 32.0, 37.0, 32.0, 38.0, 33.0, 46.0, 36.0, 48.0, 40.0, 48.0, 43.0, 54.0, 52.0, 56.0, 54.0, 58.0, 58.0, 59.0, 62.0]"
-2131880985,DotsAndBoxes,0,GAME_OVER,264,145,2,2515,dotsandboxes-32,61.0,60.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 4.0, 0.0, 5.0, 0.0, 5.0, 0.0, 6.0, 0.0, 6.0, 0.0, 6.0, 1.0, 6.0, 1.0, 7.0, 1.0, 10.0, 2.0, 11.0, 2.0, 11.0, 2.0, 11.0, 2.0, 12.0, 2.0, 13.0, 2.0, 17.0, 2.0, 17.0, 4.0, 17.0, 5.0, 18.0, 5.0, 18.0, 7.0, 18.0, 8.0, 20.0, 8.0, 24.0, 11.0, 24.0, 11.0, 24.0, 11.0, 24.0, 12.0, 24.0, 12.0, 24.0, 13.0, 24.0, 14.0, 26.0, 14.0, 26.0, 16.0, 26.0, 21.0, 28.0, 24.0, 32.0, 27.0, 32.0, 28.0, 33.0, 32.0, 33.0, 32.0, 35.0, 33.0, 36.0, 39.0, 40.0, 43.0, 41.0, 47.0, 49.0, 49.0, 53.0, 51.0, 56.0, 58.0, 60.0, 60.0, 60.0, 61.0]"
-1067999856,DotsAndBoxes,0,GAME_OVER,264,146,2,2516,dotsandboxes-32,67.0,54.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 0.0, 3.0, 1.0, 3.0, 2.0, 3.0, 2.0, 4.0, 2.0, 4.0, 3.0, 4.0, 3.0, 6.0, 3.0, 7.0, 3.0, 7.0, 3.0, 7.0, 4.0, 7.0, 4.0, 7.0, 4.0, 7.0, 6.0, 9.0, 6.0, 9.0, 6.0, 9.0, 7.0, 9.0, 8.0, 9.0, 9.0, 9.0, 11.0, 11.0, 11.0, 14.0, 11.0, 15.0, 12.0, 16.0, 14.0, 16.0, 14.0, 16.0, 14.0, 17.0, 18.0, 18.0, 19.0, 19.0, 19.0, 19.0, 21.0, 20.0, 24.0, 20.0, 26.0, 25.0, 26.0, 26.0, 26.0, 29.0, 27.0, 34.0, 29.0, 36.0, 41.0, 38.0, 41.0, 38.0, 47.0, 39.0, 47.0, 40.0, 48.0, 44.0, 48.0, 46.0, 49.0, 49.0, 51.0, 50.0, 57.0, 52.0, 63.0, 54.0, 67.0]"
