GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),GameParams(winCount),GameParams(gridSize),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
-1529107100,Connect4,31,GAME_OVER,64,1,2,3101,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-947785951,Connect4,28,GAME_OVER,57,0,2,3102,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,4,8,8,8,5,8,8,0,0,0
1705232001,Connect4,31,GAME_OVER,64,1,2,3103,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1345348933,Connect4,30,GAME_OVER,61,0,2,3104,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,5,8,8,8,8,8,0,0,0
2118719238,Connect4,31,GAME_OVER,64,1,2,3105,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1130132781,Connect4,31,GAME_OVER,64,1,2,3106,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1054516656,Connect4,29,GAME_OVER,59,0,2,3107,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,5,8,6,0,0,0
-779313682,Connect4,31,GAME_OVER,64,1,2,3108,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-484524384,Connect4,31,GAME_OVER,64,1,2,3109,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1717860743,Connect4,30,GAME_OVER,62,1,2,3110,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,6,0,0,0
-188024180,Connect4,31,GAME_OVER,64,1,2,3111,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-2099704046,Connect4,16,GAME_OVER,34,1,2,3112,connect4-32,1.0,-1.0,connect4-32,6,8,2,0,5,7,6,6,3,2,3,0,0,0
1362458938,Connect4,30,GAME_OVER,61,0,2,3113,connect4-32,-1.0,1.0,connect4-32,6,8,6,0,8,7,8,8,8,8,8,0,0,0
1024018691,Connect4,31,GAME_OVER,64,1,2,3114,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-598875466,Connect4,31,GAME_OVER,64,1,2,3115,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1489155872,Connect4,31,GAME_OVER,64,1,2,3116,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-857916708,Connect4,31,GAME_OVER,64,1,2,3117,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1992234547,Connect4,28,GAME_OVER,58,1,2,3118,connect4-32,1.0,-1.0,connect4-32,6,8,7,0,8,4,8,8,8,8,7,0,0,0
-781129553,Connect4,31,GAME_OVER,63,0,2,3119,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,7,8,8,8,8,8,8,0,0,0
-1772555230,Connect4,31,GAME_OVER,64,1,2,3120,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1226178843,Connect4,29,GAME_OVER,59,0,2,3121,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,3,8,8,8,0,0,0
-571149211,Connect4,31,GAME_OVER,64,1,2,3122,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1409123478,Connect4,29,GAME_OVER,59,0,2,3123,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,5,8,8,8,8,8,6,0,0,0
-847105452,Connect4,30,GAME_OVER,61,0,2,3124,connect4-32,-1.0,1.0,connect4-32,6,8,7,0,8,6,8,8,8,8,8,0,0,0
-808168714,Connect4,31,GAME_OVER,64,1,2,3125,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-25855765,Connect4,29,GAME_OVER,59,0,2,3126,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,3,8,8,8,8,0,0,0
-227321630,Connect4,29,GAME_OVER,59,0,2,3127,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,3,8,8,0,0,0
1549422216,Connect4,29,GAME_OVER,60,1,2,3128,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,6,8,8,0,0,0
510487010,Connect4,25,GAME_OVER,52,1,2,3129,connect4-32,1.0,-1.0,connect4-32,6,8,6,0,8,8,4,8,8,8,2,0,0,0
-606178148,Connect4,31,GAME_OVER,64,1,2,3130,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1286721714,Connect4,28,GAME_OVER,58,1,2,3131,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,4,8,8,8,8,8,0,0,0
-1417537398,Connect4,27,GAME_OVER,55,0,2,3132,connect4-32,-1.0,1.0,connect4-32,6,8,7,0,7,4,8,8,7,8,6,0,0,0
-2022418398,Connect4,29,GAME_OVER,59,0,2,3133,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,3,8,8,8,8,8,0,0,0
-1642030180,Connect4,31,GAME_OVER,64,1,2,3134,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1005297044,Connect4,31,GAME_OVER,64,1,2,3135,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
43404867,Connect4,31,GAME_OVER,63,0,2,3136,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,7,8,8,8,8,8,0,0,0
-1508720548,Connect4,29,GAME_OVER,60,1,2,3137,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,6,8,8,0,0,0
1244035829,Connect4,31,GAME_OVER,64,1,2,3138,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
109135610,Connect4,27,GAME_OVER,56,1,2,3139,connect4-32,1.0,-1.0,connect4-32,6,8,5,0,8,8,6,8,8,8,5,0,0,0
-1304512670,Connect4,28,GAME_OVER,58,1,2,3140,connect4-32,1.0,-1.0,connect4-32,6,8,6,0,8,4,8,8,8,8,8,0,0,0
-1937968535,Connect4,28,GAME_OVER,58,1,2,3141,connect4-32,1.0,-1.0,connect4-32,6,8,7,0,8,8,8,7,4,8,8,0,0,0
1184577247,Connect4,19,GAME_OVER,40,1,2,3142,connect4-32,1.0,-1.0,connect4-32,6,8,4,0,2,8,6,8,6,4,2,0,0,0
811724323,Connect4,31,GAME_OVER,64,1,2,3143,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1990252344,Connect4,31,GAME_OVER,64,1,2,3144,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1892319596,Connect4,28,GAME_OVER,58,1,2,3145,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,6,8,8,4,8,8,0,0,0
1030252865,Connect4,31,GAME_OVER,64,1,2,3146,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
741329720,Connect4,31,GAME_OVER,64,1,2,3147,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
540104931,Connect4,30,GAME_OVER,62,1,2,3148,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,6,0,0,0
-1636194523,Connect4,31,GAME_OVER,64,1,2,3149,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1700062328,Connect4,31,GAME_OVER,64,1,2,3150,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1109496164,Connect4,31,GAME_OVER,64,1,2,3151,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-756180562,Connect4,31,GAME_OVER,64,1,2,3152,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1618282631,Connect4,28,GAME_OVER,58,1,2,3153,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,4,8,8,0,0,0
-444178858,Connect4,29,GAME_OVER,59,0,2,3154,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,3,0,0,0
-1920084090,Connect4,30,GAME_OVER,62,1,2,3155,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,6,8,8,8,8,8,0,0,0
-658967113,Connect4,31,GAME_OVER,64,1,2,3156,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
1155051399,Connect4,31,GAME_OVER,64,1,2,3157,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-800831636,Connect4,31,GAME_OVER,64,1,2,3158,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
972544034,Connect4,31,GAME_OVER,64,1,2,3159,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1590707502,Connect4,29,GAME_OVER,60,1,2,3160,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,4,8,8,8,8,8,0,0,0
841764406,Connect4,28,GAME_OVER,57,0,2,3161,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,7,8,3,8,8,7,8,0,0,0
-1283829108,Connect4,31,GAME_OVER,64,1,2,3162,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1240220521,Connect4,29,GAME_OVER,60,1,2,3163,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,6,8,8,6,8,8,0,0,0
-1040456275,Connect4,30,GAME_OVER,62,1,2,3164,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,6,8,8,0,0,0
1117134609,Connect4,27,GAME_OVER,55,0,2,3165,connect4-32,-1.0,1.0,connect4-32,6,8,4,0,8,8,8,8,4,8,7,0,0,0
1214083209,Connect4,31,GAME_OVER,64,1,2,3166,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-941103209,Connect4,31,GAME_OVER,64,1,2,3167,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1395258060,Connect4,30,GAME_OVER,62,1,2,3168,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,6,0,0,0
-840239464,Connect4,31,GAME_OVER,64,1,2,3169,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-1199684544,Connect4,31,GAME_OVER,64,1,2,3170,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-174853422,Connect4,29,GAME_OVER,60,1,2,3171,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,4,8,8,8,8,8,0,0,0
236920887,Connect4,28,GAME_OVER,57,0,2,3172,connect4-32,-1.0,1.0,connect4-32,6,8,6,0,8,3,8,8,8,8,8,0,0,0
-592094692,Connect4,30,GAME_OVER,62,1,2,3173,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,6,8,8,8,8,8,8,0,0,0
-641707301,Connect4,22,GAME_OVER,45,0,2,3174,connect4-32,-1.0,1.0,connect4-32,6,8,2,0,3,6,8,8,3,7,8,0,0,0
-1717742604,Connect4,29,GAME_OVER,59,0,2,3175,connect4-32,-1.0,1.0,connect4-32,6,8,8,0,8,8,8,8,8,3,8,0,0,0
-156903095,Connect4,31,GAME_OVER,64,1,2,3176,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-443109411,Connect4,31,GAME_OVER,64,1,2,3177,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-866290604,Connect4,30,GAME_OVER,62,1,2,3178,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,6,8,8,0,0,0
1932319954,Connect4,31,GAME_OVER,64,1,2,3179,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
-822801175,Connect4,31,GAME_OVER,64,1,2,3180,connect4-32,1.0,-1.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
16964692,Connect4,31,GAME_OVER,64,1,2,3181,connect4-32,0.0,0.0,connect4-32,6,8,8,0,8,8,8,8,8,8,8,0,0,0
