GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ActionsCount(CrabDuo),ActionsCount(DrawAndDiscard),ActionsCount(FishDuo),ActionsCount(SwimmerSharkDuo),ActionsCount(Stop),ActionsCount(LastChance),ActionsCount(BoatDuo),cardTypeCount(MULTIPLIER),cardTypeCount(COLLECTOR),cardTypeCount(MERMAID),cardTypeCount(DUO),cardSuiteCount(PENGUIN),cardSuiteCount(SWIMMER),cardSuiteCount(SHELL),cardSuiteCount(SHARK),cardSuiteCount(FISH),cardSuiteCount(OCTOPUS),cardSuiteCount(SAILOR),cardSuiteCount(MERMAID),cardSuiteCount(BOAT),cardSuiteCount(CRAB),cardColorCount(LIGHT_ORANGE),cardColorCount(WHITE),cardColorCount(PINK),cardColorCount(LIGHT_BLUE),cardColorCount(BLUE),cardColorCount(BLACK),cardColorCount(YELLOW),cardColorCount(PURPLE),cardColorCount(GREEN),cardColorCount(GREY),cardColorCount(ORANGE),ScoresPerRound(ScoresPerRound)
-1144232443,SeaSaltPaper,5,GAME_OVER,482,28,4,1326,seasaltpaper-4P-128,28.0,32.0,37.0,32.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,95,7,9,2,4,9,10,42,15,91,11,13,15,12,23,12,9,15,23,25,6,15,5,32,17,20,20,9,18,11,5,"[8.0, 5.0, 5.0, 6.0, 13.0, 13.0, 14.0, 11.0, 15.0, 18.0, 24.0, 17.0, 26.0, 21.0, 26.0, 19.0, 28.0, 22.0, 29.0, 29.0, 32.0, 28.0, 32.0, 37.0]"
-1145662227,SeaSaltPaper,2,GAME_OVER,273,31,4,1327,seasaltpaper-4P-128,8.0,8.0,10.0,38.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,52,2,3,0,3,6,4,24,5,39,6,3,9,5,8,7,5,5,14,10,4,5,4,11,13,9,10,3,6,5,2,"[3.0, 3.0, 18.0, 3.0, 6.0, 6.0, 28.0, 8.0, 8.0, 8.0, 38.0, 10.0]"
1488008518,SeaSaltPaper,4,GAME_OVER,350,24,4,1328,seasaltpaper-4P-128,22.0,18.0,31.0,18.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,2,68,6,6,1,4,6,4,26,11,70,3,7,15,11,15,5,6,11,19,19,7,11,4,20,22,17,14,3,10,2,1,"[7.0, 6.0, 7.0, 3.0, 9.0, 8.0, 9.0, 12.0, 11.0, 11.0, 11.0, 22.0, 16.0, 19.0, 14.0, 23.0, 18.0, 22.0, 18.0, 31.0]"
1317218865,SeaSaltPaper,2,GAME_OVER,216,23,4,1329,seasaltpaper-4P-128,8.0,33.0,11.0,5.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,4,40,3,7,1,2,2,5,14,4,35,3,7,7,7,9,4,2,4,8,7,5,4,1,12,11,9,4,3,4,5,0,"[14.0, 2.0, 1.0, 2.0, 21.0, 6.0, 3.0, 9.0, 33.0, 8.0, 5.0, 11.0]"
626014255,SeaSaltPaper,5,GAME_OVER,492,31,4,1330,seasaltpaper-4P-128,32.0,27.0,19.0,36.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,9,93,9,11,1,5,9,12,45,9,91,10,12,17,13,23,17,6,9,25,25,7,9,6,26,25,15,26,10,17,15,1,"[4.0, 12.0, 2.0, 2.0, 6.0, 14.0, 12.0, 6.0, 9.0, 16.0, 21.0, 9.0, 21.0, 18.0, 24.0, 11.0, 22.0, 27.0, 29.0, 14.0, 27.0, 32.0, 36.0, 19.0]"
1593868067,SeaSaltPaper,5,GAME_OVER,459,31,4,1331,seasaltpaper-4P-128,30.0,19.0,26.0,31.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,9,93,6,8,0,6,4,5,44,14,81,10,14,21,11,15,11,4,14,18,26,8,14,5,22,22,23,18,9,13,9,1,"[2.0, 12.0, 2.0, 4.0, 5.0, 14.0, 12.0, 7.0, 7.0, 16.0, 14.0, 16.0, 15.0, 19.0, 20.0, 20.0, 17.0, 27.0, 22.0, 21.0, 19.0, 30.0, 31.0, 26.0]"
818020635,SeaSaltPaper,5,GAME_OVER,452,23,4,1332,seasaltpaper-4P-128,34.0,23.0,18.0,35.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,88,8,11,2,4,7,7,46,10,86,10,14,15,12,23,17,6,10,20,22,4,10,6,27,15,18,26,11,15,14,3,"[8.0, 2.0, 3.0, 5.0, 12.0, 13.0, 5.0, 8.0, 15.0, 23.0, 8.0, 10.0, 18.0, 25.0, 19.0, 13.0, 19.0, 27.0, 28.0, 15.0, 23.0, 34.0, 35.0, 18.0]"
-185635804,SeaSaltPaper,4,GAME_OVER,371,21,4,1333,seasaltpaper-4P-128,32.0,25.0,19.0,12.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,5,73,5,7,1,4,8,8,29,10,72,7,13,10,7,18,9,7,10,20,18,7,10,3,22,18,16,18,5,9,8,3,"[3.0, 10.0, 2.0, 2.0, 9.0, 20.0, 4.0, 5.0, 11.0, 22.0, 7.0, 16.0, 21.0, 25.0, 9.0, 18.0, 25.0, 32.0, 12.0, 19.0]"
1825917938,SeaSaltPaper,3,GAME_OVER,269,20,4,1334,seasaltpaper-4P-128,30.0,16.0,7.0,10.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,7,53,3,2,1,3,3,6,22,3,54,7,5,7,6,12,8,4,3,14,19,3,3,3,18,11,12,13,6,8,6,2,"[9.0, 3.0, 3.0, 2.0, 13.0, 14.0, 6.0, 4.0, 14.0, 23.0, 8.0, 6.0, 16.0, 30.0, 10.0, 7.0]"
1415043752,SeaSaltPaper,4,GAME_OVER,411,26,4,1335,seasaltpaper-4P-128,31.0,27.0,17.0,25.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,81,5,8,1,4,9,5,36,11,77,6,11,16,8,20,11,4,11,23,19,6,11,4,24,19,21,21,7,7,7,2,"[16.0, 3.0, 3.0, 4.0, 19.0, 13.0, 5.0, 6.0, 21.0, 16.0, 16.0, 10.0, 25.0, 23.0, 23.0, 15.0, 27.0, 31.0, 25.0, 17.0]"
2128278985,SeaSaltPaper,3,GAME_OVER,332,28,4,1336,seasaltpaper-4P-128,32.0,20.0,24.0,15.0,seasaltpaper-4P-128,seasaltpaper-4P-128,seasaltpaper-4P-128,8,63,3,9,2,2,5,7,27,6,56,6,10,11,8,11,9,6,6,14,15,5,6,4,18,13,10,19,7,7,6,1,"[6.0, 7.0, 3.0, 4.0, 13.0, 13.0, 9.0, 10.0, 17.0, 21.0, 13.0, 21.0, 20.0, 32.0, 15.0, 24.0]"
