GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ScoresPerTurn(ScoresPerTurn)
1194499819,DotsAndBoxes,0,GAME_OVER,82,48,2,3509,dotsandboxes-32,14.0,21.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 3.0, 2.0, 3.0, 2.0, 4.0, 4.0, 6.0, 6.0, 7.0, 10.0, 10.0, 13.0, 10.0, 18.0, 11.0, 19.0, 12.0, 21.0, 14.0]"
-2045349193,DotsAndBoxes,0,GAME_OVER,82,47,2,3510,dotsandboxes-32,23.0,12.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 4.0, 2.0, 4.0, 3.0, 7.0, 5.0, 8.0, 6.0, 10.0, 8.0, 11.0, 8.0, 14.0, 10.0, 15.0, 12.0, 22.0, 12.0, 23.0]"
389658217,DotsAndBoxes,0,GAME_OVER,82,47,2,3511,dotsandboxes-32,21.0,14.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 1.0, 4.0, 2.0, 4.0, 2.0, 6.0, 2.0, 6.0, 3.0, 9.0, 3.0, 9.0, 3.0, 10.0, 3.0, 11.0, 5.0, 13.0, 10.0, 14.0, 20.0, 14.0, 21.0]"
284208330,DotsAndBoxes,0,GAME_OVER,82,47,2,3512,dotsandboxes-32,22.0,13.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 5.0, 1.0, 5.0, 1.0, 6.0, 3.0, 6.0, 3.0, 6.0, 3.0, 8.0, 3.0, 9.0, 4.0, 10.0, 6.0, 12.0, 6.0, 13.0, 8.0, 16.0, 10.0, 20.0, 13.0, 20.0, 13.0, 22.0]"
-712378301,DotsAndBoxes,0,GAME_OVER,82,48,2,3513,dotsandboxes-32,18.0,17.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 2.0, 3.0, 3.0, 5.0, 5.0, 7.0, 5.0, 11.0, 10.0, 12.0, 11.0, 14.0, 13.0, 16.0, 17.0, 18.0]"
1380862425,DotsAndBoxes,0,GAME_OVER,82,48,2,3514,dotsandboxes-32,15.0,20.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 3.0, 0.0, 4.0, 1.0, 5.0, 1.0, 6.0, 2.0, 8.0, 3.0, 10.0, 4.0, 11.0, 7.0, 13.0, 10.0, 17.0, 12.0, 19.0, 13.0, 20.0, 15.0]"
1160952082,DotsAndBoxes,0,GAME_OVER,82,47,2,3515,dotsandboxes-32,19.0,16.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 2.0, 4.0, 2.0, 5.0, 3.0, 5.0, 3.0, 5.0, 7.0, 6.0, 8.0, 6.0, 9.0, 10.0, 12.0, 14.0, 14.0, 16.0, 16.0, 18.0, 16.0, 19.0]"
-719299155,DotsAndBoxes,0,GAME_OVER,82,47,2,3516,dotsandboxes-32,20.0,15.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0, 6.0, 4.0, 7.0, 4.0, 7.0, 4.0, 9.0, 12.0, 12.0, 14.0, 14.0, 14.0, 15.0, 15.0, 15.0, 20.0]"
-2131880985,DotsAndBoxes,0,GAME_OVER,82,47,2,3517,dotsandboxes-32,14.0,21.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 5.0, 3.0, 5.0, 6.0, 5.0, 6.0, 5.0, 6.0, 5.0, 9.0, 6.0, 15.0, 10.0, 20.0, 12.0, 21.0, 13.0, 21.0, 14.0]"
-1067999856,DotsAndBoxes,0,GAME_OVER,82,49,2,3518,dotsandboxes-32,18.0,17.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.0, 3.0, 5.0, 4.0, 6.0, 5.0, 6.0, 6.0, 6.0, 7.0, 9.0, 13.0, 9.0, 15.0, 10.0, 17.0, 14.0, 17.0, 18.0]"
-1432372094,DotsAndBoxes,0,GAME_OVER,82,47,2,3519,dotsandboxes-32,18.0,17.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 2.0, 3.0, 2.0, 3.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 4.0, 5.0, 6.0, 5.0, 6.0, 6.0, 6.0, 9.0, 12.0, 10.0, 15.0, 13.0, 16.0, 13.0, 17.0, 16.0, 17.0, 18.0]"
-908298930,DotsAndBoxes,0,GAME_OVER,82,47,2,3520,dotsandboxes-32,21.0,14.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0, 5.0, 7.0, 6.0, 10.0, 7.0, 10.0, 8.0, 13.0, 12.0, 14.0, 14.0, 15.0, 14.0, 21.0]"
395008504,DotsAndBoxes,0,GAME_OVER,82,47,2,3521,dotsandboxes-32,15.0,20.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 2.0, 5.0, 2.0, 6.0, 2.0, 8.0, 2.0, 10.0, 5.0, 12.0, 5.0, 13.0, 5.0, 13.0, 7.0, 14.0, 8.0, 20.0, 13.0, 20.0, 15.0]"
-294798767,DotsAndBoxes,0,GAME_OVER,82,47,2,3522,dotsandboxes-32,18.0,17.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 3.0, 4.0, 6.0, 6.0, 7.0, 6.0, 13.0, 6.0, 13.0, 7.0, 14.0, 7.0, 15.0, 7.0, 17.0, 15.0, 17.0, 18.0]"
1837515192,DotsAndBoxes,0,GAME_OVER,82,47,2,3523,dotsandboxes-32,22.0,13.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 3.0, 1.0, 4.0, 1.0, 5.0, 1.0, 8.0, 1.0, 8.0, 1.0, 8.0, 6.0, 9.0, 14.0, 9.0, 14.0, 9.0, 17.0, 11.0, 18.0, 13.0, 18.0, 13.0, 22.0]"
-1658627413,DotsAndBoxes,0,GAME_OVER,82,47,2,3524,dotsandboxes-32,17.0,18.0,dotsandboxes-32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 1.0, 3.0, 1.0, 4.0, 1.0, 6.0, 2.0, 6.0, 2.0, 6.0, 3.0, 7.0, 4.0, 7.0, 5.0, 13.0, 6.0, 14.0, 9.0, 17.0, 13.0, 18.0, 15.0, 18.0, 17.0]"
