GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
1365640982,Connect4,26,GAME_OVER,54,1,2,695,connect4-64,1.0,-1.0,connect4-64,8,0,2,8,8,8,4,8,8,0,0,0
1636116128,Connect4,8,GAME_OVER,17,0,2,696,connect4-64,-1.0,1.0,connect4-64,0,0,4,3,3,4,1,2,0,0,0,0
864133078,Connect4,26,GAME_OVER,53,0,2,697,connect4-64,-1.0,1.0,connect4-64,8,0,8,2,8,3,8,8,8,0,0,0
-1271523072,Connect4,22,GAME_OVER,46,1,2,698,connect4-64,1.0,-1.0,connect4-64,2,0,8,8,8,2,8,8,2,0,0,0
-210012043,Connect4,13,GAME_OVER,28,1,2,699,connect4-64,1.0,-1.0,connect4-64,0,0,4,6,7,1,6,3,1,0,0,0
536627490,Connect4,28,GAME_OVER,58,1,2,700,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,2,8,8,8,0,0,0
-1461010236,Connect4,26,GAME_OVER,53,0,2,701,connect4-64,-1.0,1.0,connect4-64,2,0,8,8,8,8,8,3,8,0,0,0
-466259543,Connect4,24,GAME_OVER,49,0,2,702,connect4-64,-1.0,1.0,connect4-64,0,0,8,7,8,8,8,2,8,0,0,0
-36524596,Connect4,21,GAME_OVER,44,1,2,703,connect4-64,1.0,-1.0,connect4-64,3,0,4,8,7,1,8,6,7,0,0,0
-672717195,Connect4,8,GAME_OVER,17,0,2,704,connect4-64,-1.0,1.0,connect4-64,0,0,3,1,4,3,4,1,1,0,0,0
-787068412,Connect4,13,GAME_OVER,27,0,2,705,connect4-64,-1.0,1.0,connect4-64,1,0,2,4,5,5,3,2,5,0,0,0
322637739,Connect4,25,GAME_OVER,51,0,2,706,connect4-64,-1.0,1.0,connect4-64,4,0,8,8,8,4,8,3,8,0,0,0
-619250180,Connect4,9,GAME_OVER,19,0,2,707,connect4-64,-1.0,1.0,connect4-64,4,0,0,3,4,2,4,1,1,0,0,0
-317902130,Connect4,19,GAME_OVER,40,1,2,708,connect4-64,1.0,-1.0,connect4-64,0,0,5,8,8,1,6,8,4,0,0,0
2137860439,Connect4,21,GAME_OVER,43,0,2,709,connect4-64,-1.0,1.0,connect4-64,8,0,8,2,4,7,7,7,0,0,0,0
-682678330,Connect4,16,GAME_OVER,33,0,2,710,connect4-64,-1.0,1.0,connect4-64,0,0,2,5,6,6,5,5,4,0,0,0
-665523628,Connect4,31,GAME_OVER,64,1,2,711,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,8,8,8,8,0,0,0
1809252562,Connect4,9,GAME_OVER,19,0,2,712,connect4-64,-1.0,1.0,connect4-64,0,0,4,4,3,3,5,0,0,0,0,0
-1691155916,Connect4,17,GAME_OVER,36,1,2,713,connect4-64,1.0,-1.0,connect4-64,1,0,3,6,7,6,7,6,0,0,0,0
