GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),ScoresPerTurn(ScoresPerTurn),ActionsCount(Pass),ActionsCount(AllocateDice),ActionsCount(RollDice)
1053304095,CantStop,0,GAME_OVER,287,34,4,17,mcts1,0.0,2.0,1.0,3.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 3.0, 1.0]",35,119,133
-570800362,CantStop,0,GAME_OVER,131,12,4,18,mcts1,1.0,3.0,0.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0, 2.0, 0.0]",13,57,61
-1642962766,CantStop,0,GAME_OVER,120,11,4,19,mcts1,1.0,2.0,3.0,0.0,mcts1,mcts1,mcts1,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 1.0, 0.0, 3.0]",12,53,55
1607497707,CantStop,0,GAME_OVER,262,30,4,20,mcts1,1.0,2.0,2.0,3.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0]",31,109,122
-1057049878,CantStop,0,GAME_OVER,258,27,4,21,mcts1,0.0,2.0,3.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 0.0, 1.0, 3.0]",28,108,122
57583797,CantStop,0,GAME_OVER,198,28,4,22,mcts1,2.0,3.0,2.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]",29,80,89
593549342,CantStop,0,GAME_OVER,203,20,4,23,mcts1,1.0,3.0,1.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 1.0, 2.0, 1.0, 3.0, 1.0, 2.0, 1.0]",21,88,94
-1981390823,CantStop,0,GAME_OVER,107,9,4,24,mcts1,3.0,0.0,0.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 1.0, 0.0]",10,47,50
1455297022,CantStop,0,GAME_OVER,254,29,4,25,mcts1,3.0,2.0,1.0,2.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 3.0, 2.0, 1.0]",30,108,116
-208521487,CantStop,0,GAME_OVER,155,15,4,26,mcts1,0.0,2.0,3.0,1.0,mcts1,mcts1,mcts1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 2.0, 0.0, 1.0, 3.0]",16,68,71
