GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),CardsInSupplyGameEnd(WORKSHOP),CardsInSupplyGameEnd(GOLD),CardsInSupplyGameEnd(MARKET),CardsInSupplyGameEnd(DUCHY),CardsInSupplyGameEnd(SILVER),CardsInSupplyGameEnd(REMODEL),CardsInSupplyGameEnd(COPPER),CardsInSupplyGameEnd(MERCHANT),CardsInSupplyGameEnd(MILITIA),CardsInSupplyGameEnd(VILLAGE),CardsInSupplyGameEnd(MOAT),CardsInSupplyGameEnd(CELLAR),CardsInSupplyGameEnd(MINE),CardsInSupplyGameEnd(SMITHY),CardsInSupplyGameEnd(PROVINCE),CardsInSupplyGameEnd(ESTATE),EmptySupplySlots(EmptySupplySlots),DominionActionValue(attackCount),DominionActionValue(plusMoney),DominionActionValue(plusActions),DominionActionValue(trashCardCount),DominionActionValue(plusBuys),DominionActionValue(plusDraws),ScoresPerRound(ScoresPerRound)
1024990892,Dominion,17,GAME_OVER,186,3,4,3509,dominion-4P-32,22.0,39.0,34.0,28.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,13,11,15,0,3,11,8,12,14,13,8,14,14,11,0,1,2,0,0,10,7,0,17,"[1.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 1.0, 4.0, 4.0, 4.0, 1.0, 4.0, 7.0, 4.0, 1.0, 7.0, 7.0, 4.0, 4.0, 10.0, 7.0, 10.0, 4.0, 13.0, 13.0, 13.0, 4.0, 13.0, 13.0, 13.0, 10.0, 16.0, 16.0, 14.0, 10.0, 19.0, 16.0, 20.0, 10.0, 21.0, 16.0, 20.0, 10.0, 22.0, 16.0, 20.0, 10.0, 24.0, 16.0, 26.0, 16.0, 24.0, 16.0, 26.0, 16.0, 25.0, 22.0, 32.0, 16.0, 27.0, 28.0, 33.0, 22.0, 27.0, 28.0, 39.0, 22.0, 28.0, 34.0]"
1542999819,Dominion,18,GAME_OVER,207,2,4,3510,dominion-4P-32,30.0,27.0,33.0,34.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,12,16,12,0,5,14,3,10,12,11,15,13,14,10,0,0,3,1,14,28,0,12,35,"[1.0, 1.0, 2.0, 1.0, 4.0, 2.0, 2.0, 1.0, 4.0, 2.0, 2.0, 1.0, 7.0, 5.0, 3.0, 7.0, 10.0, 5.0, 6.0, 7.0, 10.0, 5.0, 9.0, 10.0, 13.0, 5.0, 15.0, 16.0, 16.0, 5.0, 15.0, 16.0, 16.0, 11.0, 15.0, 22.0, 19.0, 11.0, 15.0, 25.0, 22.0, 17.0, 15.0, 25.0, 23.0, 17.0, 21.0, 25.0, 24.0, 17.0, 21.0, 26.0, 25.0, 23.0, 28.0, 26.0, 26.0, 29.0, 28.0, 32.0, 27.0, 30.0, 28.0, 32.0, 27.0, 30.0, 28.0, 33.0, 27.0, 30.0, 28.0, 33.0, 27.0, 30.0, 34.0, 33.0]"
-1580811206,Dominion,18,GAME_OVER,221,2,4,3511,dominion-4P-32,25.0,17.0,32.0,47.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,12,12,12,0,4,14,3,15,13,13,11,9,13,11,0,3,2,0,5,17,4,5,38,"[1.0, 2.0, 1.0, 1.0, 1.0, 5.0, 1.0, 1.0, 5.0, 5.0, 2.0, 1.0, 5.0, 8.0, 2.0, 7.0, 5.0, 11.0, 8.0, 7.0, 11.0, 14.0, 14.0, 13.0, 11.0, 14.0, 14.0, 13.0, 12.0, 17.0, 14.0, 19.0, 12.0, 17.0, 14.0, 22.0, 12.0, 17.0, 17.0, 22.0, 12.0, 18.0, 23.0, 22.0, 13.0, 21.0, 23.0, 28.0, 13.0, 21.0, 23.0, 31.0, 16.0, 21.0, 23.0, 31.0, 17.0, 21.0, 29.0, 31.0, 17.0, 24.0, 35.0, 31.0, 17.0, 24.0, 41.0, 32.0, 17.0, 25.0, 41.0, 32.0, 17.0, 25.0, 47.0, 32.0]"
1406318947,Dominion,24,GAME_OVER,287,3,4,3512,dominion-4P-32,21.0,24.0,45.0,34.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,9,17,15,0,2,11,3,8,11,11,6,8,13,10,0,0,3,4,8,27,2,0,59,"[2.0, 1.0, 1.0, 1.0, 5.0, 4.0, 2.0, 1.0, 8.0, 4.0, 2.0, 4.0, 11.0, 7.0, 2.0, 4.0, 14.0, 7.0, 2.0, 4.0, 14.0, 7.0, 3.0, 10.0, 17.0, 10.0, 3.0, 10.0, 17.0, 10.0, 3.0, 13.0, 17.0, 13.0, 3.0, 19.0, 18.0, 13.0, 3.0, 19.0, 21.0, 13.0, 9.0, 20.0, 22.0, 14.0, 10.0, 26.0, 23.0, 15.0, 16.0, 27.0, 24.0, 15.0, 22.0, 27.0, 24.0, 15.0, 22.0, 27.0, 24.0, 15.0, 22.0, 27.0, 24.0, 15.0, 22.0, 27.0, 24.0, 15.0, 22.0, 27.0, 24.0, 21.0, 22.0, 33.0, 24.0, 21.0, 28.0, 33.0, 24.0, 21.0, 28.0, 39.0, 24.0, 21.0, 28.0, 39.0, 24.0, 21.0, 28.0, 39.0, 24.0, 21.0, 28.0, 39.0, 24.0, 21.0, 34.0, 45.0]"
1570671794,Dominion,21,GAME_OVER,249,3,4,3513,dominion-4P-32,35.0,38.0,30.0,21.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,10,15,15,0,4,10,4,11,9,10,8,10,14,14,0,0,3,5,10,21,8,0,21,"[1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 4.0, 4.0, 4.0, 8.0, 4.0, 4.0, 7.0, 14.0, 7.0, 4.0, 7.0, 17.0, 10.0, 10.0, 7.0, 17.0, 13.0, 11.0, 7.0, 23.0, 16.0, 11.0, 13.0, 26.0, 17.0, 17.0, 13.0, 26.0, 18.0, 17.0, 19.0, 26.0, 18.0, 18.0, 19.0, 28.0, 20.0, 18.0, 20.0, 29.0, 21.0, 24.0, 20.0, 29.0, 21.0, 24.0, 26.0, 29.0, 21.0, 24.0, 26.0, 35.0, 21.0, 24.0, 32.0, 35.0, 21.0, 24.0, 32.0, 35.0, 21.0, 24.0, 32.0, 35.0, 21.0, 24.0, 38.0, 35.0, 21.0, 24.0, 38.0, 35.0, 21.0, 30.0]"
540082064,Dominion,19,GAME_OVER,187,0,4,3514,dominion-4P-32,34.0,34.0,30.0,26.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,10,13,12,0,5,14,4,11,13,10,11,11,12,12,0,0,3,0,5,19,2,5,49,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 4.0, 1.0, 7.0, 7.0, 4.0, 1.0, 7.0, 10.0, 10.0, 7.0, 7.0, 10.0, 13.0, 7.0, 7.0, 13.0, 14.0, 7.0, 13.0, 16.0, 14.0, 7.0, 13.0, 17.0, 14.0, 7.0, 19.0, 20.0, 14.0, 10.0, 25.0, 23.0, 17.0, 10.0, 25.0, 23.0, 20.0, 16.0, 26.0, 23.0, 20.0, 22.0, 27.0, 23.0, 20.0, 28.0, 33.0, 23.0, 20.0, 28.0, 34.0, 23.0, 22.0, 28.0, 34.0, 23.0, 28.0, 28.0, 34.0, 24.0, 29.0, 28.0, 34.0, 25.0, 30.0, 28.0, 34.0, 26.0, 30.0, 34.0, 34.0, 26.0, 30.0]"
-991337134,Dominion,17,GAME_OVER,252,0,4,3515,dominion-4P-32,26.0,33.0,36.0,24.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,14,14,14,0,0,12,7,13,12,13,13,11,15,14,0,5,3,3,9,20,2,3,13,"[4.0, 1.0, 1.0, 1.0, 7.0, 4.0, 4.0, 4.0, 10.0, 4.0, 7.0, 7.0, 10.0, 4.0, 10.0, 7.0, 10.0, 4.0, 10.0, 10.0, 13.0, 7.0, 10.0, 10.0, 14.0, 7.0, 10.0, 16.0, 14.0, 7.0, 10.0, 22.0, 14.0, 13.0, 10.0, 22.0, 14.0, 13.0, 16.0, 22.0, 14.0, 13.0, 17.0, 22.0, 15.0, 19.0, 23.0, 22.0, 21.0, 20.0, 23.0, 22.0, 21.0, 20.0, 24.0, 28.0, 21.0, 20.0, 24.0, 29.0, 21.0, 20.0, 24.0, 35.0, 27.0, 26.0, 24.0, 36.0, 33.0, 26.0, 24.0, 36.0]"
183585184,Dominion,22,GAME_OVER,219,3,4,3516,dominion-4P-32,23.0,29.0,36.0,36.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,12,12,13,0,1,13,3,13,12,11,9,9,14,6,0,0,3,0,3,20,4,3,72,"[2.0, 1.0, 2.0, 1.0, 5.0, 1.0, 5.0, 4.0, 8.0, 4.0, 8.0, 4.0, 8.0, 7.0, 8.0, 4.0, 11.0, 11.0, 11.0, 4.0, 11.0, 14.0, 11.0, 4.0, 11.0, 17.0, 11.0, 5.0, 11.0, 19.0, 11.0, 5.0, 11.0, 20.0, 12.0, 5.0, 11.0, 20.0, 12.0, 5.0, 11.0, 21.0, 12.0, 6.0, 11.0, 21.0, 12.0, 6.0, 11.0, 22.0, 12.0, 12.0, 11.0, 23.0, 12.0, 12.0, 11.0, 23.0, 18.0, 18.0, 11.0, 23.0, 18.0, 18.0, 11.0, 23.0, 24.0, 24.0, 17.0, 23.0, 24.0, 30.0, 17.0, 23.0, 24.0, 30.0, 23.0, 23.0, 30.0, 30.0, 29.0, 23.0, 36.0, 30.0, 29.0, 23.0, 36.0, 30.0, 29.0, 23.0, 36.0, 36.0]"
2130877785,Dominion,30,GAME_OVER,347,1,4,3517,dominion-4P-32,48.0,14.0,21.0,35.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,4,14,10,0,0,8,1,4,10,8,4,10,14,8,1,0,3,4,13,33,3,5,65,"[1.0, 4.0, 1.0, 1.0, 4.0, 7.0, 4.0, 4.0, 4.0, 7.0, 4.0, 7.0, 7.0, 7.0, 4.0, 8.0, 7.0, 7.0, 10.0, 9.0, 8.0, 7.0, 10.0, 10.0, 11.0, 8.0, 10.0, 10.0, 12.0, 14.0, 10.0, 10.0, 12.0, 14.0, 10.0, 13.0, 12.0, 15.0, 16.0, 16.0, 12.0, 15.0, 17.0, 16.0, 13.0, 18.0, 17.0, 16.0, 13.0, 18.0, 23.0, 19.0, 13.0, 24.0, 23.0, 20.0, 14.0, 24.0, 23.0, 21.0, 14.0, 24.0, 23.0, 21.0, 14.0, 24.0, 23.0, 21.0, 14.0, 30.0, 23.0, 21.0, 14.0, 30.0, 23.0, 21.0, 14.0, 30.0, 23.0, 21.0, 14.0, 30.0, 23.0, 21.0, 14.0, 30.0, 29.0, 21.0, 14.0, 30.0, 29.0, 21.0, 14.0, 30.0, 29.0, 21.0, 14.0, 30.0, 29.0, 21.0, 14.0, 30.0, 29.0, 21.0, 14.0, 36.0, 35.0, 21.0, 14.0, 36.0, 35.0, 21.0, 14.0, 42.0, 35.0, 21.0, 14.0, 48.0, 35.0, 21.0, 14.0, 48.0, 35.0, 21.0]"
24662136,Dominion,18,GAME_OVER,189,2,4,3518,dominion-4P-32,32.0,34.0,22.0,31.0,dominion-4P-32,dominion-4P-32,dominion-4P-32,12,12,11,0,2,11,4,14,14,14,14,12,13,9,0,5,2,0,4,9,6,4,41,"[1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 7.0, 1.0, 4.0, 1.0, 10.0, 1.0, 4.0, 1.0, 10.0, 4.0, 4.0, 7.0, 10.0, 4.0, 4.0, 7.0, 10.0, 4.0, 4.0, 7.0, 10.0, 4.0, 10.0, 7.0, 10.0, 4.0, 10.0, 10.0, 16.0, 10.0, 10.0, 16.0, 16.0, 16.0, 13.0, 16.0, 16.0, 22.0, 13.0, 16.0, 16.0, 22.0, 13.0, 19.0, 22.0, 22.0, 13.0, 19.0, 22.0, 22.0, 19.0, 26.0, 22.0, 22.0, 25.0, 26.0, 25.0, 22.0, 31.0, 29.0, 25.0, 22.0, 32.0, 31.0, 25.0, 22.0, 34.0, 32.0, 31.0, 22.0]"
