,Wonders7-agent,Wonders7-param,Wonders7-seed,Dominion-agent,Dominion-param,Dominion-seed,SeaSaltPaper-agent,SeaSaltPaper-param,SeaSaltPaper-seed,CantStop-agent,CantStop-param,CantStop-seed,Connect4-agent,Connect4-param,DotsAndBoxes-agent,DotsAndBoxes-param
3-Shot,0.6035±0.0138,0.2962±0.0099,0.5447±0.0238,0.9061±0.0179,1.0000±0.0000,0.2621±0.0107,0.5823±0.0178,0.9727±0.0059,0.8741±0.0279,0.4352±0.0163,0.7100±0.0662,0.7098±0.0491,0.5303±0.0192,1.0000±0.0000,0.2796±0.0103,0.9993±0.0004
5-Shot,0.6307±0.0136,0.3270±0.0138,0.6278±0.0226,0.9189±0.0110,1.0000±0.0000,0.2749±0.0089,0.6122±0.0192,0.9848±0.0029,0.9337±0.0119,0.4566±0.0093,0.7930±0.0366,0.7788±0.0320,0.5622±0.0166,1.0000±0.0000,0.3044±0.0086,1.0000±0.0000
10-Shot,0.6627±0.0091,0.3624±0.0123,0.7441±0.0209,0.9349±0.0082,1.0000±0.0000,0.2723±0.0113,0.6442±0.0118,0.9871±0.0023,0.9690±0.0053,0.4581±0.0108,0.8263±0.0476,0.8442±0.0336,0.5845±0.0135,1.0000±0.0000,0.3441±0.0080,1.0000±0.0000
20-Shot,0.6905±0.0060,0.4012±0.0111,0.8390±0.0175,0.9359±0.0035,1.0000±0.0000,0.2985±0.0092,0.6756±0.0092,0.9896±0.0010,0.9752±0.0050,0.4738±0.0112,0.9031±0.0329,0.8974±0.0144,0.6107±0.0135,1.0000±0.0000,0.3902±0.0089,1.0000±0.0000
40-Shot,0.7083±0.0061,0.4516±0.0064,0.9041±0.0123,0.9375±0.0036,1.0000±0.0000,0.3055±0.0084,0.6849±0.0064,0.9896±0.0011,0.9795±0.0030,0.4692±0.0061,0.9392±0.0236,0.8999±0.0178,0.6298±0.0077,1.0000±0.0000,0.4273±0.0075,1.0000±0.0000
