,Wonders7-agent,Wonders7-param,Wonders7-seed,Dominion-agent,Dominion-param,Dominion-seed,SeaSaltPaper-agent,SeaSaltPaper-param,SeaSaltPaper-seed,CantStop-agent,CantStop-param,CantStop-seed,Connect4-agent,Connect4-param,DotsAndBoxes-agent,DotsAndBoxes-param
Hand-crafted,0.6870±0.0059,0.4942±0.0079,0.5877±0.0093,0.9140±0.0030,0.9957±0.0006,0.4679±0.0074,0.5103±0.0052,0.9410±0.0032,0.9110±0.0047,,,,,,,
JSON,0.7367±0.0061,0.5414±0.0070,0.9460±0.0033,0.9372±0.0018,1.0000±0.0000,0.3477±0.0063,0.7200±0.0047,0.9906±0.0009,0.9835±0.0012,0.4773±0.0050,0.9831±0.0041,0.9617±0.0023,0.6200±0.0049,1.0000±0.0000,0.5214±0.0070,1.0000±0.0000
JSON Char,0.4371±0.0081,0.3552±0.0095,0.8809±0.0058,0.9307±0.0027,1.0000±0.0000,0.3362±0.0066,0.5261±0.0041,0.8635±0.0032,0.3461±0.0051,0.4910±0.0045,0.5221±0.0153,0.5610±0.0057,0.4047±0.0042,0.9383±0.0025,0.4763±0.0067,0.9954±0.0007
