,Wonders7-agent,Wonders7-param,Wonders7-seed,Dominion-agent,Dominion-param,Dominion-seed,SeaSaltPaper-agent,SeaSaltPaper-param,SeaSaltPaper-seed,CantStop-agent,CantStop-param,CantStop-seed,Connect4-agent,Connect4-param,DotsAndBoxes-agent,DotsAndBoxes-param
Hand-crafted,0.6940±0.0019,0.4787±0.0033,0.5700±0.0033,0.9112±0.0015,0.9959±0.0003,0.4591±0.0038,0.4243±0.0027,0.8510±0.0028,0.8604±0.0048,,,,,,,
JSON,0.7417±0.0021,0.5452±0.0035,0.9413±0.0020,0.9368±0.0011,1.0000±0.0000,0.3509±0.0027,0.7186±0.0025,0.9907±0.0004,0.9836±0.0007,0.4747±0.0021,0.9834±0.0024,0.9598±0.0013,0.6200±0.0024,1.0000±0.0000,0.5177±0.0021,1.0000±0.0000
JSON Char,0.4304±0.0034,0.3540±0.0041,0.8817±0.0023,0.9290±0.0010,1.0000±0.0000,0.3359±0.0026,0.5275±0.0020,0.8654±0.0016,0.3470±0.0024,0.4896±0.0024,0.5296±0.0048,0.5663±0.0026,0.4022±0.0023,0.9390±0.0010,0.4745±0.0032,0.9951±0.0003
